"ltg","transcript_url","video_link"
"141","https://www.althingi.is/altext/141/f049.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=49"
"141","https://www.althingi.is/altext/141/f050.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=50"
"141","https://www.althingi.is/altext/141/f051.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=51"
"141","https://www.althingi.is/altext/141/f052.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=52"
"141","https://www.althingi.is/altext/141/f053.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=53"
"141","https://www.althingi.is/altext/141/f054.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=54"
"141","https://www.althingi.is/altext/141/f055.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=55"
"141","https://www.althingi.is/altext/141/f056.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=56"
"141","https://www.althingi.is/altext/141/f057.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=57"
"141","https://www.althingi.is/altext/141/f058.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=58"
"141","https://www.althingi.is/altext/141/f059.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=59"
"141","https://www.althingi.is/altext/141/f060.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=60"
"141","https://www.althingi.is/altext/141/f061.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=61"
"141","https://www.althingi.is/altext/141/f062.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=62"
"141","https://www.althingi.is/altext/141/f063.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=63"
"141","https://www.althingi.is/altext/141/f064.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=64"
"141","https://www.althingi.is/altext/141/f065.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=65"
"141","https://www.althingi.is/altext/141/f066.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=66"
"141","https://www.althingi.is/altext/141/f067.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=67"
"141","https://www.althingi.is/altext/141/f068.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=68"
"141","https://www.althingi.is/altext/141/f069.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=69"
"141","https://www.althingi.is/altext/141/f070.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=70"
"141","https://www.althingi.is/altext/141/f071.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=71"
"141","https://www.althingi.is/altext/141/f072.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=72"
"141","https://www.althingi.is/altext/141/f073.sgml","https://www.althingi.is/altext/upptokur/thingfundur/?lthing=141&fundnr=73"
