cycle,legislation,session_number,session_title,session_date,link_to_session
10,1,94,Reunião N.º 94 (23/02/2006),23/02/2006,https://av.parlamento.pt/videos/Plenary/10/1/94
10,1,93,Reunião N.º 93 (22/02/2006),22/02/2006,https://av.parlamento.pt/videos/Plenary/10/1/93
10,1,92,Reunião N.º 92 (17/02/2006),17/02/2006,https://av.parlamento.pt/videos/Plenary/10/1/92
10,1,91,Reunião N.º 91 (16/02/2006),16/02/2006,https://av.parlamento.pt/videos/Plenary/10/1/91
10,1,90,Reunião N.º 90 (15/02/2006),15/02/2006,https://av.parlamento.pt/videos/Plenary/10/1/90
10,1,89,Reunião N.º 89 (10/02/2006),10/02/2006,https://av.parlamento.pt/videos/Plenary/10/1/89
10,1,88,Reunião N.º 88 (09/02/2006),09/02/2006,https://av.parlamento.pt/videos/Plenary/10/1/88
10,1,87,Reunião N.º 87 (08/02/2006),08/02/2006,https://av.parlamento.pt/videos/Plenary/10/1/87
10,1,86,Reunião N.º 86 (03/02/2006),03/02/2006,https://av.parlamento.pt/videos/Plenary/10/1/86
10,1,85,Reunião N.º 85 (02/02/2006),02/02/2006,https://av.parlamento.pt/videos/Plenary/10/1/85
10,1,84,Reunião N.º 84 (01/02/2006),01/02/2006,https://av.parlamento.pt/videos/Plenary/10/1/84
10,1,83,Reunião N.º 83 (27/01/2006),27/01/2006,https://av.parlamento.pt/videos/Plenary/10/1/83
10,1,82,Reunião N.º 82 (26/01/2006),26/01/2006,https://av.parlamento.pt/videos/Plenary/10/1/82
10,1,81,Reunião N.º 81 (25/01/2006),25/01/2006,https://av.parlamento.pt/videos/Plenary/10/1/81
10,1,80,Reunião N.º 80 (20/01/2006),20/01/2006,https://av.parlamento.pt/videos/Plenary/10/1/80
10,1,79,Reunião N.º 79 (19/01/2006),19/01/2006,https://av.parlamento.pt/videos/Plenary/10/1/79
10,1,78,Reunião N.º 78 (18/01/2006),18/01/2006,https://av.parlamento.pt/videos/Plenary/10/1/78
10,1,77,Reunião N.º 77 (13/01/2006),13/01/2006,https://av.parlamento.pt/videos/Plenary/10/1/77
10,1,76,Reunião N.º 76 (12/01/2006),12/01/2006,https://av.parlamento.pt/videos/Plenary/10/1/76
10,1,75,Reunião N.º 75 (11/01/2006),11/01/2006,https://av.parlamento.pt/videos/Plenary/10/1/75
10,1,74,Reunião N.º 74 (06/01/2006),06/01/2006,https://av.parlamento.pt/videos/Plenary/10/1/74
10,1,73,Reunião N.º 73 (05/01/2006),05/01/2006,https://av.parlamento.pt/videos/Plenary/10/1/73
10,1,72,Reunião N.º 72 (04/01/2006),04/01/2006,https://av.parlamento.pt/videos/Plenary/10/1/72
10,1,71,Reunião N.º 71 (21/12/2005),21/12/2005,https://av.parlamento.pt/videos/Plenary/10/1/71
10,1,70,Reunião N.º 70 (20/12/2005),20/12/2005,https://av.parlamento.pt/videos/Plenary/10/1/70
10,1,69,Reunião N.º 69 (16/12/2005),16/12/2005,https://av.parlamento.pt/videos/Plenary/10/1/69
10,1,68,Reunião N.º 68 (15/12/2005),15/12/2005,https://av.parlamento.pt/videos/Plenary/10/1/68
10,1,67,Reunião N.º 67 (14/12/2005),14/12/2005,https://av.parlamento.pt/videos/Plenary/10/1/67
10,1,66,Reunião N.º 66 (09/12/2005),09/12/2005,https://av.parlamento.pt/videos/Plenary/10/1/66
10,1,65,Reunião N.º 65 (07/12/2005),07/12/2005,https://av.parlamento.pt/videos/Plenary/10/1/65
10,1,64,Reunião N.º 64 (02/12/2005),02/12/2005,https://av.parlamento.pt/videos/Plenary/10/1/64
10,1,63,Reunião N.º 63 (30/11/2005),30/11/2005,https://av.parlamento.pt/videos/Plenary/10/1/63
10,1,62,Reunião N.º 62 (29/11/2005),29/11/2005,https://av.parlamento.pt/videos/Plenary/10/1/62
10,1,61,Reunião N.º 61 (11/11/2005),11/11/2005,https://av.parlamento.pt/videos/Plenary/10/1/61
10,1,60,Reunião N.º 60 (10/11/2005),10/11/2005,https://av.parlamento.pt/videos/Plenary/10/1/60
10,1,59,Reunião N.º 59 (09/11/2005),09/11/2005,https://av.parlamento.pt/videos/Plenary/10/1/59
10,1,58,Reunião N.º 58 (21/10/2005),21/10/2005,https://av.parlamento.pt/videos/Plenary/10/1/58
10,1,57,Reunião N.º 57 (20/10/2005),20/10/2005,https://av.parlamento.pt/videos/Plenary/10/1/57
10,1,56,Reunião N.º 56 (19/10/2005),19/10/2005,https://av.parlamento.pt/videos/Plenary/10/1/56
10,1,55,Reunião N.º 55 (14/10/2005),14/10/2005,https://av.parlamento.pt/videos/Plenary/10/1/55
10,1,54,Reunião N.º 54 (13/10/2005),13/10/2005,https://av.parlamento.pt/videos/Plenary/10/1/54
10,1,53,Reunião N.º 53 (12/10/2005),12/10/2005,https://av.parlamento.pt/videos/Plenary/10/1/53
10,1,52,Reunião N.º 52 (30/09/2005),30/09/2005,https://av.parlamento.pt/videos/Plenary/10/1/52
10,1,51,Reunião N.º 51 (29/09/2005),29/09/2005,https://av.parlamento.pt/videos/Plenary/10/1/51
10,1,50,Reunião N.º 50 (28/09/2005),28/09/2005,https://av.parlamento.pt/videos/Plenary/10/1/50
10,1,49,Reunião N.º 49 (23/09/2005),23/09/2005,https://av.parlamento.pt/videos/Plenary/10/1/49
10,1,48,Reunião N.º 48 (22/09/2005),22/09/2005,https://av.parlamento.pt/videos/Plenary/10/1/48
10,1,47,Reunião N.º 47 (21/09/2005),21/09/2005,https://av.parlamento.pt/videos/Plenary/10/1/47
10,1,46,Reunião N.º 46 (16/09/2005),16/09/2005,https://av.parlamento.pt/videos/Plenary/10/1/46
10,1,45,Reunião N.º 45 (15/09/2005),15/09/2005,https://av.parlamento.pt/videos/Plenary/10/1/45
10,1,44,Reunião N.º 44 (14/09/2005),14/09/2005,https://av.parlamento.pt/videos/Plenary/10/1/44
10,1,43,Reunião N.º 43 (06/09/2005),06/09/2005,https://av.parlamento.pt/videos/Plenary/10/1/43
10,1,42,Reunião N.º 42 (28/07/2005),28/07/2005,https://av.parlamento.pt/videos/Plenary/10/1/42
10,1,41,Reunião N.º 41 (20/07/2005),20/07/2005,https://av.parlamento.pt/videos/Plenary/10/1/41
10,1,40,Reunião N.º 40 (08/07/2005),08/07/2005,https://av.parlamento.pt/videos/Plenary/10/1/40
10,1,39,Reunião N.º 39 (07/07/2005),07/07/2005,https://av.parlamento.pt/videos/Plenary/10/1/39
10,1,38,Reunião N.º 38 (06/07/2005),06/07/2005,https://av.parlamento.pt/videos/Plenary/10/1/38
10,1,37,Reunião N.º 37 (01/07/2005),01/07/2005,https://av.parlamento.pt/videos/Plenary/10/1/37
10,1,36,Reunião N.º 36 (30/06/2005),30/06/2005,https://av.parlamento.pt/videos/Plenary/10/1/36
10,1,35,Reunião N.º 35 (29/06/2005),29/06/2005,https://av.parlamento.pt/videos/Plenary/10/1/35
10,1,34,Reunião N.º 34 (24/06/2005),24/06/2005,https://av.parlamento.pt/videos/Plenary/10/1/34
10,1,33,Reunião N.º 33 (23/06/2005),23/06/2005,https://av.parlamento.pt/videos/Plenary/10/1/33
10,1,32,Reunião N.º 32 (22/06/2005),22/06/2005,https://av.parlamento.pt/videos/Plenary/10/1/32
10,1,31,Reunião N.º 31 (16/06/2005),16/06/2005,https://av.parlamento.pt/videos/Plenary/10/1/31
10,1,30,Reunião N.º 30 (09/06/2005),09/06/2005,https://av.parlamento.pt/videos/Plenary/10/1/30
10,1,29,Reunião N.º 29 (08/06/2005),08/06/2005,https://av.parlamento.pt/videos/Plenary/10/1/29
10,1,28,Reunião N.º 28 (03/06/2005),03/06/2005,https://av.parlamento.pt/videos/Plenary/10/1/28
10,1,27,Reunião N.º 27 (02/06/2005),02/06/2005,https://av.parlamento.pt/videos/Plenary/10/1/27
10,1,26,Reunião N.º 26 (01/06/2005),01/06/2005,https://av.parlamento.pt/videos/Plenary/10/1/26
10,1,25,Reunião N.º 25 (27/05/2005),27/05/2005,https://av.parlamento.pt/videos/Plenary/10/1/25
10,1,24,Reunião N.º 24 (25/05/2005),25/05/2005,https://av.parlamento.pt/videos/Plenary/10/1/24
10,1,23,Reunião N.º 23 (19/05/2005),19/05/2005,https://av.parlamento.pt/videos/Plenary/10/1/23
10,1,22,Reunião N.º 22 (18/05/2005),18/05/2005,https://av.parlamento.pt/videos/Plenary/10/1/22
10,1,21,Reunião N.º 21 (13/05/2005),13/05/2005,https://av.parlamento.pt/videos/Plenary/10/1/21
10,1,20,Reunião N.º 20 (12/05/2005),12/05/2005,https://av.parlamento.pt/videos/Plenary/10/1/20
10,1,19,Reunião N.º 19 (11/05/2005),11/05/2005,https://av.parlamento.pt/videos/Plenary/10/1/19
10,1,18,Reunião N.º 18 (06/05/2005),06/05/2005,https://av.parlamento.pt/videos/Plenary/10/1/18
10,1,17,Reunião N.º 17 (05/05/2005),05/05/2005,https://av.parlamento.pt/videos/Plenary/10/1/17
10,1,16,Reunião N.º 16 (04/05/2005),04/05/2005,https://av.parlamento.pt/videos/Plenary/10/1/16
10,1,15,Reunião N.º 15 (29/04/2005),29/04/2005,https://av.parlamento.pt/videos/Plenary/10/1/15
10,1,14,Reunião N.º 14 (28/04/2005),28/04/2005,https://av.parlamento.pt/videos/Plenary/10/1/14
10,1,13,Reunião N.º 13 (27/04/2005),27/04/2005,https://av.parlamento.pt/videos/Plenary/10/1/13
10,1,12,Reunião N.º 12 (25/04/2005),25/04/2005,https://av.parlamento.pt/videos/Plenary/10/1/12
