transcript_id,processed_transcript_text_link,title
slovenia_2022_25_redna_1_19112024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=622F595E8F4C42F1C1258BDA002F73D6,25. redna seja Državnega zbora
slovenia_2022_25_redna_2_20112024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=A47DD671CF5B1D3EC1258BDB00303129,25. redna seja Državnega zbora
slovenia_2022_25_redna_3_21112024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=E3F41BB814CBDF77C1258BDC002E4423,25. redna seja Državnega zbora
slovenia_2022_25_redna_4_22112024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=CF0CB67211BDDB48C1258BDD0033CA7C,25. redna seja Državnega zbora
slovenia_2022_88_izredna_0_14112024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=E154406E8867C009C1258BD50040726A,88. izredna seja Državnega zbora
slovenia_2022_86_izredna_0_24102024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=2D47740FB655A42CC1258BC0002EDD37,86. izredna seja Državnega zbora
slovenia_2022_87_izredna_0_24102024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=1651AB270A0AAE03C1258BC00045205A,87. izredna seja Državnega zbora
slovenia_2022_24_redna_0_21102024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=7D300515F17EF0DFC1258BC5004BB898,24. redna seja Državnega zbora
slovenia_2022_24_redna_1_22102024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=730A3279E64BCC55C1258C3E0035F534,24. redna seja Državnega zbora
slovenia_2022_24_redna_2_23102024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=D012B6830B6ED996C1258C370038E9D3,24. redna seja Državnega zbora
slovenia_2022_24_redna_3_25102024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=22425DB94F0D0719C1258BC5004B5180,24. redna seja Državnega zbora
slovenia_2022_85_izredna_0_11102024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=3F225E860D9A8F39C1258BB30043FB02,85. izredna seja Državnega zbora
slovenia_2022_84_izredna_0_10102024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=6EEFC80F2398D391C1258BB2002975D3,84. izredna seja Državnega zbora
slovenia_2022_83_izredna_0_07102024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=B821A92C98FFC7DCC1258BAF002EE303,83. izredna seja Državnega zbora
slovenia_2022_82_izredna_0_26092024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=5B2019940C461A59C1258BD9004AB085,82. izredna seja Državnega zbora
slovenia_2022_23_redna_0_23092024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=78AD1F685467483CC1258BA8004A8757,23. redna seja Državnega zbora
slovenia_2022_23_redna_1_24092024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=DE137846C53C1AF2C1258C23003B908A,23. redna seja Državnega zbora
slovenia_2022_23_redna_2_25092024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=393900899FFBE72AC1258C380060B535,23. redna seja Državnega zbora
slovenia_2022_23_redna_3_26092024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=F4F9BA13D1D02E4FC1258C2A002B6119,23. redna seja Državnega zbora
slovenia_2022_23_redna_4_27092024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=3B3D24D5FEE92EF3C1258BA8004C1AEA,23. redna seja Državnega zbora
slovenia_2022_23_redna_5_01102024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=sz&uid=4B80834B987BC6EEC1258BAB0034390B,23. redna seja Državnega zbora
slovenia_2022_81_izredna_0_17092024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=5C4A8D4A2EC93319C1258B9B00562307,81. izredna seja Državnega zbora
slovenia_2022_80_izredna_0_10092024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=A48E4E3BD8643D21C1258B9400449777,80. izredna seja Državnega zbora
slovenia_2022_79_izredna_0_09092024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=1916E3276721044FC1258B93002E7DF3,79. izredna seja Državnega zbora
slovenia_2022_78_izredna_0_05092024,https://www.dz-rs.si/wps/portal/Home/seje/evidenca?mandat=IX&type=mag&uid=3DF7432471558E76C1258B8F00348D4E,78. izredna seja Državnega zbora
