video_id,processed_video_link,title
slovenia_26_Redna_1_18122024,https://365.rtvslo.si/embed/%0A175095194?a=1&d=1,Državni zbor (26. Redna)
slovenia_26_Redna_2_18122024,https://365.rtvslo.si/embed/%0A175095264?a=1&d=1,Državni zbor (26. Redna)
slovenia_26_Redna_3_18122024,https://365.rtvslo.si/embed/%0A175095301?a=1&d=1,Državni zbor (26. Redna)
slovenia_26_Redna_0_19122024,https://365.rtvslo.si/embed/175095444?a=1&d=1,Državni zbor (26. Redna)
slovenia_26_Redna_1_19122024,https://365.rtvslo.si/embed/%0A175095461?a=1&d=1,Državni zbor (26. Redna)
slovenia_26_Redna_2_19122024,https://365.rtvslo.si/embed/%0A175095491?a=1&d=1,Državni zbor (26. Redna)
slovenia_91_Izredna_0_19122024,https://365.rtvslo.si/embed/175095521?a=1&d=1,Državni zbor (91. Izredna)
slovenia_88_Izredna_0_14112024,https://365.rtvslo.si/embed/175086606?a=1&d=1,Državni zbor (88. Izredna)
slovenia_25_Redna_0_18112024,https://365.rtvslo.si/embed/175087544?a=1&d=1,Državni zbor (25. Redna)
slovenia_25_Redna_0_19112024,https://365.rtvslo.si/embed/175087751?a=1&d=1,Državni zbor (25. Redna)
slovenia_25_Redna_1_19112024,https://365.rtvslo.si/embed/%0A175087811?a=1&d=1,Državni zbor (25. Redna)
slovenia_25_Redna_2_19112024,https://365.rtvslo.si/embed/%0A175087885?a=1&d=1,Državni zbor (25. Redna)
slovenia_25_Redna_3_19112024,https://365.rtvslo.si/embed/%0A175087910?a=1&d=1,Državni zbor (25. Redna)
slovenia_25_Redna_0_20112024,https://365.rtvslo.si/embed/175088101?a=1&d=1,Državni zbor (25. Redna)
slovenia_25_Redna_1_20112024,https://365.rtvslo.si/embed/%0A175088151?a=1&d=1,Državni zbor (25. Redna)
slovenia_25_Redna_2_20112024,https://365.rtvslo.si/embed/%0A175088195?a=1&d=1,Državni zbor (25. Redna)
slovenia_25_Redna_0_21112024,https://365.rtvslo.si/embed/175088352?a=1&d=1,Državni zbor (25. Redna)
slovenia_25_Redna_1_21112024,https://365.rtvslo.si/embed/%0A175088368?a=1&d=1,Državni zbor (25. Redna)
slovenia_25_Redna_2_21112024,https://365.rtvslo.si/embed/%0A175088414?a=1&d=1,Državni zbor (25. Redna)
slovenia_89_Izredna_0_28112024,https://365.rtvslo.si/embed/175090092?a=1&d=1,Državni zbor (89. Izredna)
slovenia_89_Izredna_1_28112024,https://365.rtvslo.si/embed/175090166?a=1&d=1,Državni zbor (89. Izredna)
slovenia_23_Redna_0_01102024,https://365.rtvslo.si/embed/75076066?a=1&d=1,Državni zbor (23. Redna)
slovenia_83_Izredna_0_07102024,https://365.rtvslo.si/embed/175077512?a=1&d=1,Državni zbor (83. Izredna)
slovenia_83_Izredna_1_07102024,https://365.rtvslo.si/embed/175077608?a=1&d=1,Državni zbor (83. Izredna)
slovenia_83_Izredna_2_07102024,https://365.rtvslo.si/embed/175077610?a=1&d=1,Državni zbor (83. Izredna)
slovenia_84_Izredna_0_10102024,https://365.rtvslo.si/embed/175078289?a=1&d=1,Državni zbor (84. Izredna)
slovenia_84_Izredna_1_10102024,https://365.rtvslo.si/embed/%0A175078325?a=1&d=1,Državni zbor (84. Izredna)
slovenia_84_Izredna_2_10102024,https://365.rtvslo.si/embed/%0A175078421?a=1&d=1,Državni zbor (84. Izredna)
slovenia_84_Izredna_3_10102024,https://365.rtvslo.si/embed/%0A175078429?a=1&d=1,Državni zbor (84. Izredna)
slovenia_85_Izredna_0_11102024,https://365.rtvslo.si/embed/175078742?a=1&d=1,Državni zbor (85. Izredna)
