link,title,date,transcript_link,subtitles_link,mp4_links,514_mp4_truncated
https://www.bundestag.de/mediathek?videoid=3961625#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"8. Oktober 2014 
56. Sitzung vom 08.10.2014 8. Oktober 2014",08.10.2014,https://dipbt.bundestag.de/dip21/btp/18/18056.pdf#P.5149,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3961625/3961625_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3961625/3961625_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3961625/3961625_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3857509#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"12. September 2014 
52. Sitzung vom 12.09.2014 12. September 2014",12.09.2014,https://dipbt.bundestag.de/dip21/btp/18/18052.pdf#P.4791,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3857509/3857509_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3857509/3857509_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3857509/3857509_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3845360#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"9. September 2014 
49. Sitzung vom 09.09.2014 9. September 2014",09.09.2014,https://dipbt.bundestag.de/dip21/btp/18/18049.pdf#P.4459,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3845360/3845360_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3845360/3845360_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3845360/3845360_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3911905#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"26. September 2014 
55. Sitzung vom 26.09.2014 26. September 2014",26.09.2014,https://dipbt.bundestag.de/dip21/btp/18/18055.pdf#P.5071,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3911905/3911905_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3911905/3911905_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3911905/3911905_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3853596#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"11. September 2014 
51. Sitzung vom 11.09.2014 11. September 2014",11.09.2014,https://dipbt.bundestag.de/dip21/btp/18/18051.pdf#P.4659,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3853596/3853596_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3853596/3853596_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3853596/3853596_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3816623#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"1. September 2014 
48. Sitzung vom 01.09.2014 1. September 2014",01.09.2014,https://dipbt.bundestag.de/dip21/btp/18/18048.pdf#P.4417,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3816623/3816623_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3816623/3816623_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3816623/3816623_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3907267#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"25. September 2014 
54. Sitzung vom 25.09.2014 25. September 2014",25.09.2014,https://dipbt.bundestag.de/dip21/btp/18/18054.pdf#P.4883,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3907267/3907267_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3907267/3907267_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3907267/3907267_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3851338#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"10. September 2014 
50. Sitzung vom 10.09.2014 10. September 2014",10.09.2014,https://dipbt.bundestag.de/dip21/btp/18/18050.pdf#P.4547,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3851338/3851338_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3851338/3851338_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3851338/3851338_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3596685#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"4. Juli 2014 
47. Sitzung vom 04.07.2014 4. Juli 2014",04.07.2014,https://dipbt.bundestag.de/dip21/btp/18/18047.pdf#P.4337,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3596685/3596685_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3596685/3596685_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3596685/3596685_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3594344#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"3. Juli 2014 
46. Sitzung vom 03.07.2014 3. Juli 2014",03.07.2014,https://dipbt.bundestag.de/dip21/btp/18/18046.pdf#P.4089,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3594344/3594344_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3594344/3594344_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3594344/3594344_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3566621#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"26. Juni 2014 
43. Sitzung vom 26.06.2014 26. Juni 2014",26.06.2014,https://dipbt.bundestag.de/dip21/btp/18/18043.pdf#P.3831,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3566621/3566621_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3566621/3566621_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3566621/3566621_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3488341#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"5. Juni 2014 
39. Sitzung vom 05.06.2014 5. Juni 2014",05.06.2014,https://dipbt.bundestag.de/dip21/btp/18/18039.pdf#P.3315,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3488341/3488341_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3488341/3488341_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3488341/3488341_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3563003#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"25. Juni 2014 
42. Sitzung vom 25.06.2014 25. Juni 2014",25.06.2014,https://dipbt.bundestag.de/dip21/btp/18/18042.pdf#P.3683,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3563003/3563003_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3563003/3563003_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3563003/3563003_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3484994#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"4. Juni 2014 
38. Sitzung vom 04.06.2014 4. Juni 2014",04.06.2014,https://dipbt.bundestag.de/dip21/btp/18/18038.pdf#P.3257,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3484994/3484994_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3484994/3484994_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3484994/3484994_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=3590794#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"2. Juli 2014 
45. Sitzung vom 02.07.2014 2. Juli 2014",02.07.2014,https://dipbt.bundestag.de/dip21/btp/18/18045.pdf#P.4035,,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3590794/3590794_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3590794/3590794_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/3590794/3590794_h264_512_288_514kb_baseline_de_514.mp4
