link,title,date,transcript_link,subtitles_link,mp4_links,514_mp4_truncated
https://www.bundestag.de/mediathek?videoid=7546627#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"30. September 2022 
58. Sitzung vom 30.09.2022 30. September 2022",30.09.2022,https://dipbt.bundestag.de/dip21/btp/20/20058.pdf#P.6441,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7546627/7546627.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7546627/7546627_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7546627/7546627_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7546627/7546627_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7546627/7546627_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7545886#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"22. September 2022 
54. Sitzung vom 22.09.2022 22. September 2022",22.09.2022,https://dipbt.bundestag.de/dip21/btp/20/20054.pdf#P.5767,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7545886/7545886.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7545886/7545886_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7545886/7545886_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7545886/7545886_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7545886/7545886_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7538657#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"7. September 2022 
50. Sitzung vom 07.09.2022 7. September 2022",07.09.2022,https://dipbt.bundestag.de/dip21/btp/20/20050.pdf#P.5309,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538657/7538657.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538657/7538657_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538657/7538657_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538657/7538657_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538657/7538657_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7546393#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"29. September 2022 
57. Sitzung vom 29.09.2022 29. September 2022",29.09.2022,https://dipbt.bundestag.de/dip21/btp/20/20057.pdf#P.6221,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7546393/7546393.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7546393/7546393_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7546393/7546393_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7546393/7546393_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7546393/7546393_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7545785#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"21. September 2022 
53. Sitzung vom 21.09.2022 21. September 2022",21.09.2022,https://dipbt.bundestag.de/dip21/btp/20/20053.pdf#P.5657,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7545785/7545785.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7545785/7545785_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7545785/7545785_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7545785/7545785_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7545785/7545785_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7538535#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"6. September 2022 
49. Sitzung vom 06.09.2022 6. September 2022",06.09.2022,https://dipbt.bundestag.de/dip21/btp/20/20049.pdf#P.5203,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538535/7538535.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538535/7538535_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538535/7538535_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538535/7538535_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538535/7538535_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7537742#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"24. Juni 2022 
45. Sitzung vom 24.06.2022 24. Juni 2022",24.06.2022,https://dipbt.bundestag.de/dip21/btp/20/20045.pdf#P.4609,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537742/7537742.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537742/7537742_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537742/7537742_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537742/7537742_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537742/7537742_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7537079#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"2. Juni 2022 
41. Sitzung vom 02.06.2022 2. Juni 2022",02.06.2022,https://dipbt.bundestag.de/dip21/btp/20/20041.pdf#P.4019,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537079/7537079.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537079/7537079_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537079/7537079_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537079/7537079_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537079/7537079_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7538294#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"8. Juli 2022 
48. Sitzung vom 08.07.2022 8. Juli 2022",08.07.2022,https://dipbt.bundestag.de/dip21/btp/20/20048.pdf#P.5097,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538294/7538294.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538294/7538294_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538294/7538294_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538294/7538294_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7538294/7538294_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7537487#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"23. Juni 2022 
44. Sitzung vom 23.06.2022 23. Juni 2022",23.06.2022,https://dipbt.bundestag.de/dip21/btp/20/20044.pdf#P.4395,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537487/7537487.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537487/7537487_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537487/7537487_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537487/7537487_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7537487/7537487_h264_512_288_514kb_baseline_de_514.mp4
