video_id,mp4_video_link,title
serbia_2012_33_20112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013112010a.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 20.11.2013. први део
serbia_2012_34_20112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013112010.mp4,"Дан за гласање о тачкама 1, 2, 3. и 4. дневног реда Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 20.11.2013."
serbia_2012_35_19112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013111910a.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 19.11.2013. други део
serbia_2012_36_19112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013111910.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 19.11.2013. први део
serbia_2012_37_18112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013111812a.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 18.11.2013. други део
serbia_2012_38_18112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013111812.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 18.11.2013. први део
serbia_2012_39_15112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013111511a.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 15.11.2013. други део
serbia_2012_40_15112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013111511.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 15.11.2013. први део
serbia_2012_41_14112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013111410a.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 14.11.2013. други део
serbia_2012_42_14112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013111410.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 14.11.2013. први део
serbia_2012_43_13112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013111311a.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 13.11.2013. други део
serbia_2012_44_13112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013111311.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 13.11.2013. први део
serbia_2012_45_12112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013111210a.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 12.11.2013. други део
serbia_2012_46_12112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013111210.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 12.11.2013. први део
serbia_2012_47_08112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013110810a.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 08.11.2013. други део
serbia_2012_48_08112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013110810.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 08.11.2013. први део
serbia_2012_49_07112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013110711a.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 07.11.2013. други део
serbia_2012_50_07112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013110711.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 07.11.2013. први део
serbia_2012_52_06112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013110611.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 06.11.2013.
serbia_2012_53_05112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 05.11.2013. други део
serbia_2012_54_05112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013110510.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 05.11.2013. први део
serbia_2012_55_04112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013110410a.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 04.11.2013. други део
serbia_2012_56_04112013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Четврте седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 04.11.2013. први део
serbia_2012_57_31102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,Посланичка питања у октобру 31.10.2013.
serbia_2012_58_31102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,Четврта седница Другог редовног заседања Народне скупштине Републике Србије у 2013. години 31.10.2013.
serbia_2012_59_31102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,Дан за гласање о тачкама дневног реда Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 31.10.2013.
serbia_2012_60_29102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 29.10.2013.
serbia_2012_61_24102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 24.10.2013. други део
serbia_2012_62_24102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 24.10.2013. други део
serbia_2012_63_24102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 24.10.2013. први део
serbia_2012_64_23102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 23.10.2013. други део
serbia_2012_65_23102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 23.10.2013. први део
serbia_2012_66_22102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 22.10.2013. други део
serbia_2012_67_22102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 22.10.2013. први део
serbia_2012_68_17102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 17.10.2013. други део
serbia_2012_69_17102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,наставак Прве седнице Другог редовног заседања Народне скупштине Републике Србије у 2013. години 17.10.2013. први део
serbia_2012_70_16102013,http://217.26.67.44/filesnsrs2/zasedanja/zas2013100710a.mp4,Седма посебна седница Народне скупштине Републике Србије у 2013. години 16.10.2013.
