link,title,date,transcript_link,subtitle_link,mp4_links,video_link
https://www.bundestag.de/mediathek?videoid=7602118#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"18. Oktober 2023 
130. Sitzung vom 18.10.2023 18. Oktober 2023",18.10.2023,https://dipbt.bundestag.de/dip21/btp/20/20130.pdf#P.16219,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7602118/7602118.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7602118/7602118_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7602118/7602118_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7602118/7602118_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7602118/7602118_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7591310#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"29. September 2023 
126. Sitzung vom 29.09.2023 29. September 2023",29.09.2023,https://dipbt.bundestag.de/dip21/btp/20/20126.pdf#P.15733,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7591310/7591310.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7591310/7591310_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7591310/7591310_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7591310/7591310_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7591310/7591310_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7578609#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"21. September 2023 
122. Sitzung vom 21.09.2023 21. September 2023",21.09.2023,https://dipbt.bundestag.de/dip21/btp/20/20122.pdf#P.15019,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7578609/7578609.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7578609/7578609_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7578609/7578609_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7578609/7578609_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7578609/7578609_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7601998#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"13. Oktober 2023 
129. Sitzung vom 13.10.2023 13. Oktober 2023",13.10.2023,https://dipbt.bundestag.de/dip21/btp/20/20129.pdf#P.16135,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601998/7601998.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601998/7601998_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601998/7601998_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601998/7601998_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601998/7601998_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7590948#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"28. September 2023 
125. Sitzung vom 28.09.2023 28. September 2023",28.09.2023,https://dipbt.bundestag.de/dip21/btp/20/20125.pdf#P.15525,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7590948/7590948.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7590948/7590948_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7590948/7590948_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7590948/7590948_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7590948/7590948_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7575833#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"20. September 2023 
121. Sitzung vom 20.09.2023 20. September 2023",20.09.2023,https://dipbt.bundestag.de/dip21/btp/20/20121.pdf#P.14903,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7575833/7575833.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7575833/7575833_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7575833/7575833_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7575833/7575833_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7575833/7575833_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7601703#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"12. Oktober 2023 
128. Sitzung vom 12.10.2023 12. Oktober 2023",12.10.2023,https://dipbt.bundestag.de/dip21/btp/20/20128.pdf#P.15897,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601703/7601703.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601703/7601703_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601703/7601703_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601703/7601703_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601703/7601703_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7590802#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"27. September 2023 
124. Sitzung vom 27.09.2023 27. September 2023",27.09.2023,https://dipbt.bundestag.de/dip21/btp/20/20124.pdf#P.15423,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7590802/7590802.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7590802/7590802_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7590802/7590802_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7590802/7590802_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7590802/7590802_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7557102#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"8. September 2023 
120. Sitzung vom 08.09.2023 8. September 2023",08.09.2023,https://dipbt.bundestag.de/dip21/btp/20/20120.pdf#P.14807,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7557102/7557102.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7557102/7557102_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7557102/7557102_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7557102/7557102_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7557102/7557102_h264_512_288_514kb_baseline_de_514.mp4
https://www.bundestag.de/mediathek?videoid=7601615#url=L21lZGlhdGhla292ZXJsYXk=&mod=mod536668,"11. Oktober 2023 
127. Sitzung vom 11.10.2023 11. Oktober 2023",11.10.2023,https://dipbt.bundestag.de/dip21/btp/20/20127.pdf#P.15799,https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601615/7601615.srt,"['https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601615/7601615_h264_1920_1080_5000kb_baseline_de_5000.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601615/7601615_h264_720_400_2000kb_baseline_de_2192.mp4?fdl=1', 'https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601615/7601615_h264_512_288_514kb_baseline_de_514.mp4?fdl=1']",https://cldf-od.r53.cdn.tv1.eu/1000153copo/ondemand/app144277506/145293313/7601615/7601615_h264_512_288_514kb_baseline_de_514.mp4
