video_id,failed_component
20101M108_2011-07-01_1000,audio
20101M108_2011-07-01_1000,transcript
20101M108_2011-07-01_1000,audio
20101M108_2011-07-01_1000,audio
20101M108_2011-07-01_1000,audio
