transcript_link,youtube_link
/et/201412181000,
/et/201412171400,
/et/201412171300,
/et/201412161000,
/et/201412151500,
/et/201412111000,
/et/201412101400,
/et/201412101300,
/et/201412091000,
/et/201412081500,
/et/201412041000,
/et/201412031400,
/et/201412031300,
/et/201412021000,
/et/201412011500,
/et/201411201000,
/et/201411191400,
/et/201411191300,
/et/201411181000,
/et/201411171500,
/et/201411131000,
/et/201411121400,
/et/201411121300,
/et/201411111000,
/et/201411101500,
/et/201411061000,
/et/201411051400,
/et/201411051300,
/et/201411041000,
/et/201411031500,
/et/201410231000,
/et/201410221400,
/et/201410221300,
/et/201410211000,
/et/201410201500,
/et/201410161000,
/et/201410151400,
/et/201410151300,
/et/201410141000,
/et/201410131500,
/et/201410091000,
/et/201410081400,
/et/201410081300,
/et/201410071000,
/et/201410061500,
/et/201409251000,
/et/201409241400,
/et/201409241300,
/et/201409231000,
/et/201409221500,
/et/201409181000,
/et/201409171400,
/et/201409171300,
/et/201409161000,
/et/201409151500,
/et/201409111000,
/et/201409101400,
/et/201409101300,
/et/201409091000,
/et/201409081500,
/et/201407011200,
/et/201406301000,
/et/201406201000,
/et/201406191000,
/et/201406181400,
/et/201406181300,
/et/201406171000,
/et/201406161500,
/et/201406121000,
/et/201406111400,
/et/201406111300,
/et/201406101000,
/et/201406091500,
/et/201406051000,
/et/201406041400,
/et/201406041300,
/et/201406031000,
/et/201406021500,
/et/201405221000,
/et/201405211400,
/et/201405211300,
/et/201405201000,
/et/201405191500,
/et/201405151000,
/et/201405141400,
/et/201405141300,
/et/201405131000,
/et/201405121500,
/et/201405081000,
/et/201405071400,
/et/201405071300,
/et/201405061000,
/et/201405051500,
/et/201404241000,
/et/201404231400,
/et/201404231300,
/et/201404221000,
/et/201404211500,
/et/201404171000,
/et/201404161400,
/et/201404161300,
/et/201404151000,
/et/201404141500,
/et/201404101000,
/et/201404091400,
/et/201404091300,
/et/201404081000,
/et/201404071500,
/et/201403271000,
/et/201403261400,
/et/201403261300,
/et/201403251000,
/et/201403241500,
/et/201403201000,
/et/201403191400,
/et/201403191300,
/et/201403181000,
/et/201403171500,
/et/201403131000,
/et/201403121400,
/et/201403121300,
/et/201403111000,
/et/201403101500,
/et/201403051600,
/et/201403051200,
/et/201402271000,
/et/201402261400,
/et/201402261300,
/et/201402251000,
/et/201402201000,
/et/201402191400,
/et/201402191300,
/et/201402181000,
/et/201402171500,
/et/201402131000,
/et/201402121400,
/et/201402121300,
/et/201402111000,
/et/201402101500,
/et/201401301000,
/et/201401291400,
/et/201401291300,
/et/201401281000,
/et/201401271500,
/et/201401231000,
/et/201401221400,
/et/201401221300,
/et/201401211000,
/et/201401201500,
/et/201401161000,
/et/201401151400,
/et/201401151300,
/et/201401141000,
/et/201401131500,
/et/201512171000,
/et/201512161400,
/et/201512161300,
/et/201512151000,
/et/201512141500,
