transcript_id,doc_link,docx_link,title
lithuania_2020_eilinė_9_28_12112024,,https://e-seimas.lrs.lt/rs/legalact/TAK/ad65c760a13211ef9db2c9aaf9c67042/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 430 (2024-11-12)
lithuania_2020_eilinė_9_29_12112024,,https://e-seimas.lrs.lt/rs/legalact/TAK/a19f0870a10411ef9db2c9aaf9c67042/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 431 (2024-11-12)
lithuania_2020_eilinė_9_30_07112024,,https://e-seimas.lrs.lt/rs/legalact/TAK/bcd724409d2d11ef955ff95815eb5ce5/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 428 (2024-11-07)
lithuania_2020_eilinė_9_31_07112024,,https://e-seimas.lrs.lt/rs/legalact/TAK/52e1def09d9f11ef955ff95815eb5ce5/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 429 (2024-11-07)
lithuania_2020_eilinė_9_32_05112024,,https://e-seimas.lrs.lt/rs/legalact/TAK/39ffc6209b9911ef955ff95815eb5ce5/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 426 (2024-11-05)
lithuania_2020_eilinė_9_33_05112024,,https://e-seimas.lrs.lt/rs/legalact/TAK/1751bfb09ba411ef955ff95815eb5ce5/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 427 (2024-11-05)
lithuania_2020_eilinė_9_34_17102024,,https://e-seimas.lrs.lt/rs/legalact/TAK/94cf4df08c9e11efaf94d67dd8b48a7c/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 424 (2024-10-17)
lithuania_2020_eilinė_9_35_17102024,,https://e-seimas.lrs.lt/rs/legalact/TAK/181129a08cb211efaf94d67dd8b48a7c/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 425 (2024-10-17)
lithuania_2020_eilinė_9_36_15102024,,https://e-seimas.lrs.lt/rs/legalact/TAK/215bf8908b1e11efaf94d67dd8b48a7c/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 422 (2024-10-15)
lithuania_2020_eilinė_9_37_15102024,,https://e-seimas.lrs.lt/rs/legalact/TAK/953394808b1e11efaf94d67dd8b48a7c/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 423 (2024-10-15)
lithuania_2020_eilinė_9_38_03102024,,https://e-seimas.lrs.lt/rs/legalact/TAK/50ef148081a411ef84ff9693ecd03ff5/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 420 (2024-10-03)
lithuania_2020_eilinė_9_39_03102024,,https://e-seimas.lrs.lt/rs/legalact/TAK/79b9db8081b211ef84ff9693ecd03ff5/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 421 (2024-10-03)
lithuania_2020_eilinė_9_40_01102024,,https://e-seimas.lrs.lt/rs/legalact/TAK/53432020800311ef84ff9693ecd03ff5/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 418 (2024-10-01)
lithuania_2020_eilinė_9_41_01102024,,https://e-seimas.lrs.lt/rs/legalact/TAK/3d477520801011ef84ff9693ecd03ff5/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 419 (2024-10-01)
lithuania_2020_eilinė_9_42_26092024,,https://e-seimas.lrs.lt/rs/legalact/TAK/5676e1c07c0f11ef84ff9693ecd03ff5/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 416 (2024-09-26)
lithuania_2020_eilinė_9_43_26092024,,https://e-seimas.lrs.lt/rs/legalact/TAK/8a420e707c1f11ef84ff9693ecd03ff5/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 417 (2024-09-26)
lithuania_2020_eilinė_9_44_24092024,,https://e-seimas.lrs.lt/rs/legalact/TAK/8c2636b07a7d11ef84ff9693ecd03ff5/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 414 (2024-09-24)
lithuania_2020_eilinė_9_45_24092024,,https://e-seimas.lrs.lt/rs/legalact/TAK/d31bdf707aa011ef84ff9693ecd03ff5/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 415 (2024-09-24)
lithuania_2020_eilinė_9_46_19092024,,https://e-seimas.lrs.lt/rs/legalact/TAK/e66df8f0769b11ef84ff9693ecd03ff5/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 413 (2024-09-19)
lithuania_2020_eilinė_9_47_17092024,,https://e-seimas.lrs.lt/rs/legalact/TAK/ddf46650750611ef9c779dd37198d447/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 412 (2024-09-17)
lithuania_2020_eilinė_9_48_12092024,,https://e-seimas.lrs.lt/rs/legalact/TAK/4bfbb980710811ef9c779dd37198d447/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 410 (2024-09-12)
lithuania_2020_eilinė_9_49_12092024,,https://e-seimas.lrs.lt/rs/legalact/TAK/3b3e77a0711b11ef9c779dd37198d447/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 411 (2024-09-12)
lithuania_2020_eilinė_9_50_10092024,,https://e-seimas.lrs.lt/rs/legalact/TAK/8d2f97406f8311efad96fef38de4d94a/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 408 (2024-09-10)
lithuania_2020_eilinė_9_51_10092024,,https://e-seimas.lrs.lt/rs/legalact/TAK/7318a6606f8a11efad96fef38de4d94a/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 409 (2024-09-10)
lithuania_2020_neeilinė_9_52_03092024,,https://e-seimas.lrs.lt/rs/legalact/TAK/08883ec069f711efad96fef38de4d94a/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 406 (2024-09-03)
lithuania_2020_neeilinė_9_53_03092024,,https://e-seimas.lrs.lt/rs/legalact/TAK/a67ad9506a0e11efad96fef38de4d94a/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 407 (2024-09-03)
lithuania_2020_neeilinė_8_54_13082024,,https://e-seimas.lrs.lt/rs/legalact/TAK/b70260c0598a11ef886efef8659c71d0/format/MSO2010_DOCX/,Seimo posėdis Nr. 405 (2024-08-13)
lithuania_2020_eilinė_8_55_18072024,,https://e-seimas.lrs.lt/rs/legalact/TAK/47a44f60459c11efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 404 (2024-07-18)
lithuania_2020_eilinė_8_56_16072024,,https://e-seimas.lrs.lt/rs/legalact/TAK/b8f50b13437b11efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 402 (2024-07-16)
lithuania_2020_eilinė_8_57_16072024,,https://e-seimas.lrs.lt/rs/legalact/TAK/9f5abc6043ff11efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 403 (2024-07-16)
lithuania_2020_eilinė_8_58_12072024,,https://e-seimas.lrs.lt/rs/legalact/TAK/40978e50404511efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo posėdis Nr. 401 (2024-07-12)
lithuania_2020_eilinė_8_59_11072024,,https://e-seimas.lrs.lt/rs/legalact/TAK/a5eb01003fbf11efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 399 (2024-07-11)
lithuania_2020_eilinė_8_60_11072024,,https://e-seimas.lrs.lt/rs/legalact/TAK/04c0f3403fd611efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 400 (2024-07-11)
lithuania_2020_eilinė_8_61_27062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/86efb690348b11efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 397 (2024-06-27)
lithuania_2020_eilinė_8_62_27062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/6ead9fc0352111efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 398 (2024-06-27)
lithuania_2020_eilinė_8_63_25062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/78ded65032f911efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 395 (2024-06-25)
lithuania_2020_eilinė_8_64_25062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/d81125b0339911efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 396 (2024-06-25)
lithuania_2020_eilinė_8_65_20062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/66a111402f2211efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 392 (2024-06-20)
lithuania_2020_eilinė_8_66_20062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/439881902f9711efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 393 (2024-06-20)
lithuania_2020_eilinė_8_67_20062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/12cd84722fa611efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo nenumatytas posėdis Nr. 394 (2024-06-20)
lithuania_2020_eilinė_8_68_18062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/0be071902d8a11efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 390 (2024-06-18)
lithuania_2020_eilinė_8_69_18062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/3f102ab02e2011efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 391 (2024-06-18)
lithuania_2020_eilinė_8_70_13062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/77a10a4029a511efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 388 (2024-06-13)
lithuania_2020_eilinė_8_71_13062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/556ad7002a2011efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 389 (2024-06-13)
lithuania_2020_eilinė_8_72_11062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/adae4dc027ff11efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 386 (2024-06-11)
lithuania_2020_eilinė_8_73_11062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/9425c780288511efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 387 (2024-06-11)
lithuania_2020_eilinė_8_74_06062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/ac6fded0242411efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 384 (2024-06-06)
lithuania_2020_eilinė_8_75_06062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/c5de204024a411efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 385 (2024-06-06)
lithuania_2020_eilinė_8_76_04062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/ddabae00228711efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 382 (2024-06-04)
lithuania_2020_eilinė_8_77_04062024,,https://e-seimas.lrs.lt/rs/legalact/TAK/e77d2070231411efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 383 (2024-06-04)
lithuania_2020_eilinė_8_78_30052024,,https://e-seimas.lrs.lt/rs/legalact/TAK/95a6cc901e9d11efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 380 (2024-05-30)
lithuania_2020_eilinė_8_79_30052024,,https://e-seimas.lrs.lt/rs/legalact/TAK/610d3d701ebb11efb121d2fe3a0eff27/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 381 (2024-05-30)
lithuania_2020_eilinė_8_80_21052024,,https://e-seimas.lrs.lt/rs/legalact/TAK/a316cdb0178311ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 378 (2024-05-21)
lithuania_2020_eilinė_8_81_21052024,,https://e-seimas.lrs.lt/rs/legalact/TAK/a87702c017a111ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 379 (2024-05-21)
lithuania_2020_eilinė_8_82_16052024,,https://e-seimas.lrs.lt/rs/legalact/TAK/e40797e013a111ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 376 (2024-05-16)
lithuania_2020_eilinė_8_83_16052024,,https://e-seimas.lrs.lt/rs/legalact/TAK/0cd90e4013b311ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 377 (2024-05-16)
lithuania_2020_eilinė_8_84_14052024,,https://e-seimas.lrs.lt/rs/legalact/TAK/a400d541120111ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 374 (2024-05-14)
lithuania_2020_eilinė_8_85_14052024,,https://e-seimas.lrs.lt/rs/legalact/TAK/28fb1e10120f11ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 375 (2024-05-14)
lithuania_2020_eilinė_8_86_09052024,,https://e-seimas.lrs.lt/rs/legalact/TAK/d267c5a00e0b11ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 372 (2024-05-09)
lithuania_2020_eilinė_8_87_09052024,,https://e-seimas.lrs.lt/rs/legalact/TAK/5775dcc00e9611ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 373 (2024-05-09)
lithuania_2020_eilinė_8_88_07052024,,https://e-seimas.lrs.lt/rs/legalact/TAK/50a27b500c9911ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 370 (2024-05-07)
lithuania_2020_eilinė_8_89_07052024,,https://e-seimas.lrs.lt/rs/legalact/TAK/b23d44d00cad11ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 371 (2024-05-07)
lithuania_2020_eilinė_8_90_25042024,,https://e-seimas.lrs.lt/rs/legalact/TAK/db2330f0032311ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 368 (2024-04-25)
lithuania_2020_eilinė_8_91_25042024,,https://e-seimas.lrs.lt/rs/legalact/TAK/de739370032e11ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 369 (2024-04-25)
lithuania_2020_eilinė_8_92_23042024,,https://e-seimas.lrs.lt/rs/legalact/TAK/f86c25d0018511ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 366 (2024-04-23)
lithuania_2020_eilinė_8_93_23042024,,https://e-seimas.lrs.lt/rs/legalact/TAK/89d85fe001fc11ef8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 367 (2024-04-23)
lithuania_2020_eilinė_8_94_18042024,,https://e-seimas.lrs.lt/rs/legalact/TAK/1507df60fda611ee8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 364 (2024-04-18)
lithuania_2020_eilinė_8_95_18042024,,https://e-seimas.lrs.lt/rs/legalact/TAK/df18dac0fdb511ee8e4be9fad87afa59/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 365 (2024-04-18)
lithuania_2020_eilinė_8_96_16042024,,https://e-seimas.lrs.lt/rs/legalact/TAK/f4695c20fbfc11eeaa63cf21c12b4657/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 362 (2024-04-16)
lithuania_2020_eilinė_8_97_16042024,,https://e-seimas.lrs.lt/rs/legalact/TAK/2152c030fc1811eeaa63cf21c12b4657/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 363 (2024-04-16)
lithuania_2020_eilinė_8_98_11042024,,https://e-seimas.lrs.lt/rs/legalact/TAK/33f55540f81211ee97d7f4f65208a4ec/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 360 (2024-04-11)
lithuania_2020_eilinė_8_99_11042024,,https://e-seimas.lrs.lt/rs/legalact/TAK/4ecd4df0f89411eeaa63cf21c12b4657/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 361 (2024-04-11)
lithuania_2020_eilinė_8_100_09042024,,https://e-seimas.lrs.lt/rs/legalact/TAK/98a42230f68911ee97d7f4f65208a4ec/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 358 (2024-04-09)
lithuania_2020_eilinė_8_101_09042024,,https://e-seimas.lrs.lt/rs/legalact/TAK/1d47f880f69511ee97d7f4f65208a4ec/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 359 (2024-04-09)
lithuania_2020_eilinė_8_102_28032024,,https://e-seimas.lrs.lt/rs/legalact/TAK/3413a7a0ed1a11eeb736c68ed0f15a33/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 356 (2024-03-28)
lithuania_2020_eilinė_8_103_28032024,,https://e-seimas.lrs.lt/rs/legalact/TAK/74acdcd0ed2611eeb736c68ed0f15a33/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 357 (2024-03-28)
lithuania_2020_eilinė_8_104_26032024,,https://e-seimas.lrs.lt/rs/legalact/TAK/831cd470eb8011eeb736c68ed0f15a33/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 354 (2024-03-26)
lithuania_2020_eilinė_8_105_26032024,,https://e-seimas.lrs.lt/rs/legalact/TAK/326fdb70eb9511eeb736c68ed0f15a33/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 355 (2024-03-26)
lithuania_2020_eilinė_8_106_21032024,,https://e-seimas.lrs.lt/rs/legalact/TAK/5d717d90e79b11ee9fdedfc979ae62a9/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 352 (2024-03-21)
lithuania_2020_eilinė_8_107_21032024,,https://e-seimas.lrs.lt/rs/legalact/TAK/52ab5100e7b511ee9fdedfc979ae62a9/format/MSO2010_DOCX/,Seimo vakarinis posėdis Nr. 353 (2024-03-21)
lithuania_2020_eilinė_8_108_19032024,,https://e-seimas.lrs.lt/rs/legalact/TAK/4f9dc2d0e60811ee9fdedfc979ae62a9/format/MSO2010_DOCX/,Seimo rytinis posėdis Nr. 350 (2024-03-19)
