label,date,title,session_number,detail_link
ASSEMBLEA,2014-04-23T11:30:00Z,Seduta di Assemblea n. 235,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-235
ASSEMBLEA,2014-04-22T19:00:00Z,Seduta di Assemblea n. 234,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-234
ASSEMBLEA,2014-04-17T11:30:00Z,Seduta di Assemblea n. 233,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-233
ASSEMBLEA,2014-04-16T18:30:00Z,Seduta di Assemblea n. 232,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-232
ASSEMBLEA,2014-04-16T11:30:00Z,Seduta di Assemblea n. 231,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-231
ASSEMBLEA,2014-04-15T18:30:00Z,Seduta di Assemblea n. 230,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-230
ASSEMBLEA,2014-04-10T18:00:00Z,Seduta di Assemblea n. 229,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-229
ASSEMBLEA,2014-04-10T11:30:00Z,Seduta di Assemblea n. 228,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-228
ASSEMBLEA,2014-04-09T18:30:00Z,Seduta di Assemblea n. 227,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-227
ASSEMBLEA,2014-04-09T11:30:00Z,Seduta di Assemblea n. 226,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-226
ASSEMBLEA,2014-04-08T18:30:00Z,Seduta di Assemblea n. 225,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-225
ASSEMBLEA,2014-04-03T18:00:00Z,Seduta di Assemblea n. 224,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-224
ASSEMBLEA,2014-04-03T11:30:00Z,Seduta di Assemblea n. 223,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-223
ASSEMBLEA,2014-04-02T18:30:00Z,Seduta di Assemblea n. 222,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-222
ASSEMBLEA,2014-04-02T11:30:00Z,Seduta di Assemblea n. 221,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-221
ASSEMBLEA,2014-04-01T18:30:00Z,Seduta di Assemblea n. 220,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-220
ASSEMBLEA,2014-04-01T13:00:00Z,Seduta di Assemblea n. 219,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-219
ASSEMBLEA,2014-03-27T16:00:00Z,Seduta di Assemblea n. 218,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-218
ASSEMBLEA,2014-03-26T10:30:00Z,Seduta di Assemblea n. 217,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-217
ASSEMBLEA,2014-03-25T16:00:00Z,Seduta di Assemblea n. 216,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-216
ASSEMBLEA,2014-03-20T17:00:00Z,Seduta di Assemblea n. 215,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-215
ASSEMBLEA,2014-03-20T10:30:00Z,Seduta di Assemblea n. 214,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-214
ASSEMBLEA,2014-03-19T17:30:00Z,Seduta di Assemblea n. 213,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-213
ASSEMBLEA,2014-03-19T10:30:00Z,Seduta di Assemblea n. 212,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-212
ASSEMBLEA,2014-03-18T17:30:00Z,Seduta di Assemblea n. 211,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-211
ASSEMBLEA,2014-03-18T12:00:00Z,Seduta di Assemblea n. 210,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-210
ASSEMBLEA,2014-03-13T17:00:00Z,Seduta di Assemblea n. 209,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-209
ASSEMBLEA,2014-03-13T10:30:00Z,Seduta di Assemblea n. 208,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-208
ASSEMBLEA,2014-03-12T17:00:00Z,Seduta di Assemblea n. 207,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-207
ASSEMBLEA,2014-03-12T10:00:00Z,Seduta di Assemblea n. 206,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-206
ASSEMBLEA,2014-03-11T17:30:00Z,Seduta di Assemblea n. 205,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-205
ASSEMBLEA,2014-03-06T17:00:00Z,Seduta di Assemblea n. 204,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-204
ASSEMBLEA,2014-03-06T10:30:00Z,Seduta di Assemblea n. 203,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-203
ASSEMBLEA,2014-03-05T17:30:00Z,Seduta di Assemblea n. 202,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-202
ASSEMBLEA,2014-03-05T10:30:00Z,Seduta di Assemblea n. 201,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-201
ASSEMBLEA,2014-03-04T17:00:00Z,Seduta di Assemblea n. 200,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-200
ASSEMBLEA,2014-02-27T11:00:00Z,Seduta di Assemblea n. 199,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-199
ASSEMBLEA,2014-02-26T10:30:00Z,Seduta di Assemblea n. 198,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-198
ASSEMBLEA,2014-02-24T15:00:00Z,Seduta di Assemblea n. 197,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-197
ASSEMBLEA,2014-02-20T11:00:00Z,Seduta di Assemblea n. 196,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-196
ASSEMBLEA,2014-02-19T11:30:00Z,Seduta di Assemblea n. 195,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-195
ASSEMBLEA,2014-02-18T10:30:00Z,Seduta di Assemblea n.,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-10
ASSEMBLEA,2014-02-17T18:00:00Z,Seduta di Assemblea n. 193,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-193
ASSEMBLEA,2014-02-13T17:00:00Z,Seduta di Assemblea n. 192,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-192
ASSEMBLEA,2014-02-13T10:30:00Z,Seduta di Assemblea n. 191,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-191
ASSEMBLEA,2014-02-12T17:00:00Z,Seduta di Assemblea n. 190,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-190
ASSEMBLEA,2014-02-12T10:30:00Z,Seduta di Assemblea n. 189,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-189
ASSEMBLEA,2014-02-11T17:00:00Z,Seduta di Assemblea n. 188,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-188
ASSEMBLEA,2014-02-11T12:00:00Z,Seduta di Assemblea n. 187,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-187
ASSEMBLEA,2014-02-06T17:00:00Z,Seduta di Assemblea n. 186,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-186
ASSEMBLEA,2014-02-06T10:30:00Z,Seduta di Assemblea n. 185,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-185
ASSEMBLEA,2014-02-05T17:00:00Z,Seduta di Assemblea n. 184,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-184
ASSEMBLEA,2014-02-05T10:30:00Z,Seduta di Assemblea n. 183,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-183
ASSEMBLEA,2014-02-04T17:00:00Z,Seduta di Assemblea n. 182,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-182
ASSEMBLEA,2014-02-04T12:00:00Z,Seduta di Assemblea n. 181,,https://webtv.senato.it/webtv/assemblea/seduta-di-assemblea-n-181
