transcript_id,pdf_link,location_link,location_x,txt_link,key,video_id,generic_video_link,location_y
uk_0_23062014,,https://hansard.parliament.uk/html/commons/2014-06-23/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/09230016-ddbb-4fb4-a083-37a533fe9e81,23062014_Commons,uk_9_23062014,https://www.parliamentlive.tv/Event/Index/a949acbf-fd29-4ba8-8fd7-96e6c0e6f364,House of Commons
uk_0_24062014,,https://hansard.parliament.uk/html/commons/2014-06-24/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/f0fcb3d9-aa2e-4890-bd52-00b639df0771,24062014_Commons,uk_7_24062014,https://www.parliamentlive.tv/Event/Index/8da69e6e-b250-40c2-be49-d38e57eaf531,House of Commons
uk_1_24062014,,https://hansard.parliament.uk/html/commons/2014-06-24/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/33f0ac68-ba84-4041-b8b4-85bd5c2f4e25,24062014_Westminster,uk_6_24062014,https://www.parliamentlive.tv/Event/Index/3216c484-43ea-4f71-84ce-80ce1557d96d,Westminster Hall
uk_1_24062014,,https://hansard.parliament.uk/html/commons/2014-06-24/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/33f0ac68-ba84-4041-b8b4-85bd5c2f4e25,24062014_Westminster,uk_8_24062014,https://www.parliamentlive.tv/Event/Index/fc254c36-0120-4976-aa3c-2183592617c4,Westminster Hall
uk_0_25062014,,https://hansard.parliament.uk/html/commons/2014-06-25/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/1730d6f5-4b96-4d9e-ac86-fdfdb82f83da,25062014_Commons,uk_4_25062014,https://www.parliamentlive.tv/Event/Index/57e73f47-8911-4458-bd77-0c21964a0ea4,House of Commons
uk_1_25062014,,https://hansard.parliament.uk/html/commons/2014-06-25/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/e0625620-408f-4de6-8ecf-0509b3299c5c,25062014_Westminster,uk_3_25062014,https://www.parliamentlive.tv/Event/Index/a06201b6-7ab6-49ec-8439-5f174921f1ad,Westminster Hall
uk_1_25062014,,https://hansard.parliament.uk/html/commons/2014-06-25/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/e0625620-408f-4de6-8ecf-0509b3299c5c,25062014_Westminster,uk_5_25062014,https://www.parliamentlive.tv/Event/Index/928b3dee-f2ca-4c31-85cb-b558a864d3b6,Westminster Hall
uk_0_26062014,,https://hansard.parliament.uk/html/commons/2014-06-26/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/88a3d7c7-774f-49ea-ad32-9e9f959b2fce,26062014_Commons,uk_2_26062014,https://www.parliamentlive.tv/Event/Index/fae35627-7575-45ac-82ea-366dcb091517,House of Commons
uk_1_26062014,,https://hansard.parliament.uk/html/commons/2014-06-26/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/5dcea889-9cf3-4300-9c09-f32d9ae33518,26062014_Westminster,uk_1_26062014,https://www.parliamentlive.tv/Event/Index/efa8aaa2-3913-4a2e-bbf4-b7439508e1b6,Westminster Hall
uk_0_30062014,,https://hansard.parliament.uk/html/commons/2014-06-30/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/7159725a-537f-4bb0-b629-3dbf6c5dffd6,30062014_Commons,uk_0_30062014,https://www.parliamentlive.tv/Event/Index/a470f7a9-d8ec-4459-929c-758c4c8a5f4f,House of Commons
uk_0_01072014,,https://hansard.parliament.uk/html/commons/2014-07-01/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/9b0b736b-700d-435e-830e-126bdd8d0152,01072014_Commons,uk_29_01072014,https://www.parliamentlive.tv/Event/Index/96b6ab1e-a5c0-475b-8314-a69e795f60ec,House of Commons
uk_1_01072014,,https://hansard.parliament.uk/html/commons/2014-07-01/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/d3eae503-3c13-4c42-a931-7f876f9b6247,01072014_Westminster,uk_28_01072014,https://www.parliamentlive.tv/Event/Index/33eea80a-3ab7-4957-b1d5-735255cc5702,Westminster Hall
uk_1_01072014,,https://hansard.parliament.uk/html/commons/2014-07-01/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/d3eae503-3c13-4c42-a931-7f876f9b6247,01072014_Westminster,uk_30_01072014,https://www.parliamentlive.tv/Event/Index/a2fb8a76-90fb-4eda-9f32-acad0d8a999a,Westminster Hall
uk_0_02072014,,https://hansard.parliament.uk/html/commons/2014-07-02/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/18df8ff4-0b84-4528-af19-41421e4e7202,02072014_Commons,uk_26_02072014,https://www.parliamentlive.tv/Event/Index/6123808c-9a07-42ea-8763-cf03ad8bcce4,House of Commons
uk_1_02072014,,https://hansard.parliament.uk/html/commons/2014-07-02/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/a413cfc0-8222-406e-a830-f012d9b2dd8b,02072014_Westminster,uk_25_02072014,https://www.parliamentlive.tv/Event/Index/5e881f2b-4a3a-49f1-8ae9-a4966cd287ae,Westminster Hall
uk_1_02072014,,https://hansard.parliament.uk/html/commons/2014-07-02/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/a413cfc0-8222-406e-a830-f012d9b2dd8b,02072014_Westminster,uk_27_02072014,https://www.parliamentlive.tv/Event/Index/c60bb851-918c-47b1-9e3e-69cca09d7891,Westminster Hall
uk_0_03072014,,https://hansard.parliament.uk/html/commons/2014-07-03/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/c080f3eb-c31a-4824-86be-ea78c2547b51,03072014_Commons,uk_24_03072014,https://www.parliamentlive.tv/Event/Index/86df6b96-8bd4-4c32-9432-0803e204b463,House of Commons
uk_1_03072014,,https://hansard.parliament.uk/html/commons/2014-07-03/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/0db6c914-58fd-48bc-901a-c8da098fe8e9,03072014_Westminster,uk_23_03072014,https://www.parliamentlive.tv/Event/Index/632e666d-7157-4b8a-89d7-9343b60a9090,Westminster Hall
uk_0_07072014,,https://hansard.parliament.uk/html/commons/2014-07-07/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/1462585c-0caf-4403-ac99-b3e657862083,07072014_Commons,uk_22_07072014,https://www.parliamentlive.tv/Event/Index/eb2e77a2-ad20-4d2f-849b-6e38239064b9,House of Commons
uk_0_08072014,,https://hansard.parliament.uk/html/commons/2014-07-08/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/4420ba7a-6f75-4d7c-a0f4-058e54a01535,08072014_Commons,uk_20_08072014,https://www.parliamentlive.tv/Event/Index/2d5117fc-16c0-4b99-b9ed-aa8c432d741e,House of Commons
uk_1_08072014,,https://hansard.parliament.uk/html/commons/2014-07-08/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/68ee725c-fa20-4558-97d4-58c7f0da1a78,08072014_Westminster,uk_19_08072014,https://www.parliamentlive.tv/Event/Index/f6bc8c3e-eaa8-4629-bc67-89d8ec5c2ab6,Westminster Hall
uk_1_08072014,,https://hansard.parliament.uk/html/commons/2014-07-08/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/68ee725c-fa20-4558-97d4-58c7f0da1a78,08072014_Westminster,uk_21_08072014,https://www.parliamentlive.tv/Event/Index/ddef6234-6563-4a80-abd8-8c70087cb6dd,Westminster Hall
uk_0_09072014,,https://hansard.parliament.uk/html/commons/2014-07-09/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/b0e7812a-7774-4884-9ed0-585ccacd439d,09072014_Commons,uk_17_09072014,https://www.parliamentlive.tv/Event/Index/eb558074-225a-4c6b-852d-89c611cfbd89,House of Commons
uk_1_09072014,,https://hansard.parliament.uk/html/commons/2014-07-09/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/5d122061-5d09-4fa6-a7b3-50d04c2bf42d,09072014_Westminster,uk_16_09072014,https://www.parliamentlive.tv/Event/Index/51801a00-bcc8-449e-ab5f-79349bc219df,Westminster Hall
uk_1_09072014,,https://hansard.parliament.uk/html/commons/2014-07-09/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/5d122061-5d09-4fa6-a7b3-50d04c2bf42d,09072014_Westminster,uk_18_09072014,https://www.parliamentlive.tv/Event/Index/64248c71-0162-4f24-8f06-a9c6ed451ac7,Westminster Hall
uk_0_10072014,,https://hansard.parliament.uk/html/commons/2014-07-10/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/ced14f2f-b80b-4d8b-9d53-e9c6445f5434,10072014_Commons,uk_15_10072014,https://www.parliamentlive.tv/Event/Index/dd6e1626-c37a-4fba-89f7-d14a4ddcf2d7,House of Commons
uk_1_10072014,,https://hansard.parliament.uk/html/commons/2014-07-10/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/eca9c23e-bb0c-49d8-ae16-e1f98a303f50,10072014_Westminster,uk_14_10072014,https://www.parliamentlive.tv/Event/Index/a510b7fa-d442-408b-abe1-331e9be03cd3,Westminster Hall
uk_0_14072014,,https://hansard.parliament.uk/html/commons/2014-07-14/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/f9c3614e-888a-4744-9ce8-a1da1d9180e6,14072014_Commons,uk_13_14072014,https://www.parliamentlive.tv/Event/Index/a618160f-ccc0-46ab-9a50-bca89ce0f9d4,House of Commons
uk_0_15072014,,https://hansard.parliament.uk/html/commons/2014-07-15/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/66dc5f14-5904-440c-95f0-13cfb04ca9ae,15072014_Commons,uk_11_15072014,https://www.parliamentlive.tv/Event/Index/d3389a0c-6f98-443c-b00f-569af3e686b5,House of Commons
uk_1_15072014,,https://hansard.parliament.uk/html/commons/2014-07-15/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/48e49841-c6a2-4f37-8757-f04609d009c6,15072014_Westminster,uk_10_15072014,https://www.parliamentlive.tv/Event/Index/e4798d92-9022-4c03-a9f5-571747401c0e,Westminster Hall
uk_1_15072014,,https://hansard.parliament.uk/html/commons/2014-07-15/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/48e49841-c6a2-4f37-8757-f04609d009c6,15072014_Westminster,uk_12_15072014,https://www.parliamentlive.tv/Event/Index/f9b5f5d7-1387-482a-8ffe-4d2402250eed,Westminster Hall
uk_0_16072014,,https://hansard.parliament.uk/html/commons/2014-07-16/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/1be95f8c-4fd8-4549-be5b-2462853b5d05,16072014_Commons,uk_8_16072014,https://www.parliamentlive.tv/Event/Index/22e2b8aa-0d81-4abc-9235-efb14ea9501f,House of Commons
uk_1_16072014,,https://hansard.parliament.uk/html/commons/2014-07-16/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/a88d860a-e462-48db-b4a5-17633973a1b5,16072014_Westminster,uk_7_16072014,https://www.parliamentlive.tv/Event/Index/428cd581-b2f3-4825-a043-a346cfb6451e,Westminster Hall
