year,number_of_videos,total_duration
2025,35,96.37305555555555
2024,147,498.1950000000001
Unknown Date,27,35.838055555555556
2023,146,596.3730555555557
2022,166,578.4611111111107
2021,149,542.8180555555557
2020,143,395.12333333333333
2019,121,233.38305555555544
2018,151,325.7552777777778
2017,149,377.4380555555556
2016,149,419.59555555555534
2015,126,283.01055555555547
2014,90,209.25027777777788
2013,2,2.4975
