transcript_link,date,youtube_link
/et/202111251000,2021-11-25 10:00:00,https://www.youtube.com/watch?v=iIG87oj4b6Q
/et/202112061500,2021-12-06 15:00:00,https://www.youtube.com/watch?v=cuw85Xy3aa0
/et/202112071000,2021-12-07 10:00:00,
/et/202112081200,2021-12-08 12:00:00,https://www.youtube.com/watch?v=YpeyhTrKkBE
/et/202112081400,2021-12-08 14:00:00,https://www.youtube.com/watch?v=ejVbrzc_29s
/et/202112091000,2021-12-09 10:00:00,https://www.youtube.com/watch?v=FqP5xjcqls0
/et/202112131500,2021-12-13 15:00:00,https://www.youtube.com/watch?v=L3ohKKEiDko
/et/202112141000,2021-12-14 10:00:00,https://www.youtube.com/watch?v=Bzp3_YUipSo
/et/202112151200,2021-12-15 12:00:00,https://www.youtube.com/watch?v=UfgQJgfzXYs
/et/202112151400,2021-12-15 14:00:00,https://www.youtube.com/watch?v=zDJHyLtXudk
/et/202112161000,2021-12-16 10:00:00,https://www.youtube.com/watch?v=2Pwfy9tMqT8
/et/202201101500,2022-01-10 15:00:00,https://www.youtube.com/watch?v=5iIiEw234bY
/et/202201111000,2022-01-11 10:00:00,https://www.youtube.com/watch?v=PNF1hRUsli0
/et/202201121200,2022-01-12 12:00:00,https://www.youtube.com/watch?v=XR34nEPl-bg
/et/202201121400,2022-01-12 14:00:00,https://www.youtube.com/watch?v=JwRrJA8UFXw
/et/202201131000,2022-01-13 10:00:00,
/et/202201171500,2022-01-17 15:00:00,https://www.youtube.com/watch?v=HYe8YT18uXs
/et/202201181000,2022-01-18 10:00:00,https://www.youtube.com/watch?v=IhyHipw6tXw
/et/202201191200,2022-01-19 12:00:00,https://www.youtube.com/watch?v=gX0pQ_AQLg8
/et/202201191400,2022-01-19 14:00:00,https://www.youtube.com/watch?v=oiUedKVChLU
/et/202201201000,2022-01-20 10:00:00,https://www.youtube.com/watch?v=2gMykBfbKBE
/et/202201241500,2022-01-24 15:00:00,https://www.youtube.com/watch?v=WqWQxrEdn1A
/et/202201251000,2022-01-25 10:00:00,https://www.youtube.com/watch?v=MX1NQNIvh9E
/et/202201261200,2022-01-26 12:00:00,https://www.youtube.com/watch?v=RB1cr2wZDRE
/et/202201261400,2022-01-26 14:00:00,https://www.youtube.com/watch?v=NaUkGTYFAVg
/et/202201261400,2022-01-26 14:00:00,https://www.youtube.com/watch?v=Qn_LrrAlT90
/et/202201271000,2022-01-27 10:00:00,https://www.youtube.com/watch?v=3tXByCYFWw4
/et/202202071500,2022-02-07 15:00:00,https://www.youtube.com/watch?v=Ug6M-WA32lA
/et/202202081000,2022-02-08 10:00:00,https://www.youtube.com/watch?v=3alCSqKZrvY
/et/202202091200,2022-02-09 12:00:00,https://www.youtube.com/watch?v=d7gzVlP7udA
/et/202202091400,2022-02-09 14:00:00,https://www.youtube.com/watch?v=DSgJLUWlsyI
/et/202202101000,2022-02-10 10:00:00,https://www.youtube.com/watch?v=RWT7If637tY
/et/202202141500,2022-02-14 15:00:00,https://www.youtube.com/watch?v=NwoHeHOz25Y
