session_date,session_title,session_url,Audio zapis,Izvještaj,Obavještenje,Poslanička pitanja,Rezultati glasanja,Stenogram,Zapisnik
2024-12-03 00:00:00,23. sjednica Predstavničkog doma Parlamentarne skupštine BiH,https://parlament.ba/session/OSessionDetails?id=2665&ConvernerId=1,,,,,,,
2024-10-22 00:00:00,"22. sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2646&ConvernerId=1,https://static.parlament.ba/doc/170656_22.%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2022.10.2024..mp3,https://static.parlament.ba/doc/170675_22.%20sjednica%20PD%20-%20izvjestaj%20-%20B.pdf,https://static.parlament.ba/doc/170716_b%20Obavjestenje%20za%20DN.pdf,,https://static.parlament.ba/doc/170655_Glasanja%20za%2022.%20sjednicu%20PD%20od%2022102024.pdf,https://static.parlament.ba/doc/170713_22.sjed%20Predstavnickog%20doma22102024.pdf,
2024-08-28 00:00:00,21. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2633&ConvernerId=1,https://static.parlament.ba/doc/169691_21.%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2029.08.2024..mp3,https://static.parlament.ba/doc/169671_21.%20sjednica%20PD%20-%20izvjestaj%20-%20B.pdf,https://static.parlament.ba/doc/169729_b%20Obavjestenje%20za%20Dom%20naroda.pdf,,https://static.parlament.ba/doc/169670_Glasanja%2021.%20sjednica%20PD%20PSBiH%2028-08-2024.pdf,https://static.parlament.ba/doc/170366_21.%20sjed.%20PD%2028082024.pdf,https://static.parlament.ba/doc/170721_b%20Zapisnik.pdf
2024-07-16 00:00:00,"20. sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2624&ConvernerId=1,https://static.parlament.ba/doc/168916_20%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2016.07.2024.mp3,https://static.parlament.ba/doc/168893_20.%20sjednica%20PD%20-%20izvjestaj%20-%20B.pdf,https://static.parlament.ba/doc/168910_B%20Obavje%c5%a1tenje%20za%20DN.pdf,,https://static.parlament.ba/doc/168887_Rezultati%20glasanja%20za%2020.%20sjednicu%20Predstavnickog%20doma%20od%2016%2007%202024.pdf,https://static.parlament.ba/doc/169072_20.sjed.%20PD%2016072024.pdf,https://static.parlament.ba/doc/170868_b%20Zapisnik.pdf
2024-07-16 00:00:00,"14. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2630&ConvernerId=1,https://static.parlament.ba/doc/168915_14%20hitna%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2016.07.2024..mp3,https://static.parlament.ba/doc/168890_14.%20hitna%20sjednica%20PD%20-%20izvjestaj%20-%20B.pdf,https://static.parlament.ba/doc/168914_B%20Obavje%c5%a1tenje%20za%20DN.pdf,,https://static.parlament.ba/doc/168889_Glasanje-%2014.%20hitna%20sjednica%20PD%20PSBIH%2016-07-2024.pdf,https://static.parlament.ba/doc/169070_14.%20hitna%20PD%2016.07.2024..pdf,https://static.parlament.ba/doc/169722_b%20Zapisnik.pdf
2024-07-03 00:00:00,Nastavak 19. sjednice Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine (glasanje),https://parlament.ba/session/OSessionDetails?id=2619&ConvernerId=1,https://static.parlament.ba/doc/168683_Nastavak%2019.%20sjednice%20Predstavni%c4%8dkog%20doma%20PSBiH%203.7.2024..mp3,https://static.parlament.ba/doc/168302_19.%20sjednica%20PD%20-%20izvjestaj%20-%20B.pdf,https://static.parlament.ba/doc/168684_b%20Obavjestenje%20za%20DN.pdf,,https://static.parlament.ba/doc/168301_Rezultati%20glasanja%20za%20Nastavak%2019.%20sjednice%20PD%20od%2003%2007%202024.pdf,https://static.parlament.ba/doc/168305_Nastavak%2019.%20PD%2003.07.2024..pdf,https://static.parlament.ba/doc/169134_Zapisnik%20(B).pdf
2024-06-20 00:00:00,19. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2608&ConvernerId=1,,,,,https://static.parlament.ba/doc/168273_Gl_19%20sjednice%20PD%2020062024.pdf,https://static.parlament.ba/doc/168279_19.%20sjed%20PD%2020.06.2024..pdf,
2024-05-21 00:00:00,18. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2597&ConvernerId=1,https://static.parlament.ba/doc/167564_18.%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2022.05.2024..mp3,https://static.parlament.ba/doc/167566_18.%20sjednica%20PD%20-%20izvjestaj%20-%20B.pdf,https://static.parlament.ba/doc/167856_B%20Obavje%c5%a1tenje%20za%20DN.pdf,,https://static.parlament.ba/doc/167536_Rezultati%20glasanja%20za%2018.%20sjednicu%20PD%20od%2021%2005%202024.pdf,https://static.parlament.ba/doc/167605_18.%20sjed.%20Predstavni%c4%8dkog%20doma%2021.05.2024..pdf,https://static.parlament.ba/doc/169131_Zapisnik%20(B).pdf
2024-04-18 00:00:00,"13. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2595&ConvernerId=1,,https://static.parlament.ba/doc/166712_13.%20hitna%20sjednica%20PD%20-%20izvjestaj%20-%20B.pdf,https://static.parlament.ba/doc/166681_B%20Obavje%c5%a1tenje%20za%20DN.pdf,,https://static.parlament.ba/doc/166637_Gl%2013.%20hitne%20sjednice%20PD%2018042024.pdf,https://static.parlament.ba/doc/166730_13.%20hitna%20PD%2018.04.2024_.pdf,https://static.parlament.ba/doc/168692_B%20Zapisnik%2013.%20hitne%20%20sjednice.pdf
2024-04-02 00:00:00,17. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2588&ConvernerId=1,https://static.parlament.ba/doc/166424_17%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%202.4.2024.mp3,https://static.parlament.ba/doc/166440_17.%20sjednica%20PD%20-%20izvjestaj%20-%20B.pdf,https://static.parlament.ba/doc/166408_B%20Obavje%c5%a1tenje%20za%20DN.pdf,,https://static.parlament.ba/doc/166388_Rezultati%20glasanja%20za%2017.%20sjednicu%20Predstavni%c4%8dkog%20doma%20od%2002042024.pdf,https://static.parlament.ba/doc/166459_17.%20PD%2002.04.2024..pdf,https://static.parlament.ba/doc/168687_B%20Zapisnik%2017.%20sjednice.pdf
