video_id,mp4_video_link,pdf_link,session_date,session_title,session_url
2646,https://static.parlament.ba/doc/170656_22.%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2022.10.2024..mp3,https://static.parlament.ba/doc/170713_22.sjed%20Predstavnickog%20doma22102024.pdf,2024-10-22 00:00:00,"22. sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2646&ConvernerId=1
2633,https://static.parlament.ba/doc/169691_21.%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2029.08.2024..mp3,https://static.parlament.ba/doc/170366_21.%20sjed.%20PD%2028082024.pdf,2024-08-28 00:00:00,21. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2633&ConvernerId=1
2624,https://static.parlament.ba/doc/168916_20%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2016.07.2024.mp3,https://static.parlament.ba/doc/169072_20.sjed.%20PD%2016072024.pdf,2024-07-16 00:00:00,"20. sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2624&ConvernerId=1
2630,https://static.parlament.ba/doc/168915_14%20hitna%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2016.07.2024..mp3,https://static.parlament.ba/doc/169070_14.%20hitna%20PD%2016.07.2024..pdf,2024-07-16 00:00:00,"14. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2630&ConvernerId=1
2619,https://static.parlament.ba/doc/168683_Nastavak%2019.%20sjednice%20Predstavni%c4%8dkog%20doma%20PSBiH%203.7.2024..mp3,https://static.parlament.ba/doc/168305_Nastavak%2019.%20PD%2003.07.2024..pdf,2024-07-03 00:00:00,Nastavak 19. sjednice Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine (glasanje),https://parlament.ba/session/OSessionDetails?id=2619&ConvernerId=1
2597,https://static.parlament.ba/doc/167564_18.%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2022.05.2024..mp3,https://static.parlament.ba/doc/167605_18.%20sjed.%20Predstavni%c4%8dkog%20doma%2021.05.2024..pdf,2024-05-21 00:00:00,18. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2597&ConvernerId=1
2588,https://static.parlament.ba/doc/166424_17%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%202.4.2024.mp3,https://static.parlament.ba/doc/166459_17.%20PD%2002.04.2024..pdf,2024-04-02 00:00:00,17. sjednica Predstavničkog doma Parlamentarne skupštine Bosne i Hercegovine,https://parlament.ba/session/OSessionDetails?id=2588&ConvernerId=1
2581,https://static.parlament.ba/doc/165923_12.%20Hitna%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2008.03.2024..mp3,https://static.parlament.ba/doc/165965_12.%20hitna%20PD%2008.03.2024..pdf,2024-03-08 00:00:00,"12. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2581&ConvernerId=1
2578,https://static.parlament.ba/doc/165921_11.%20Hitna%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2008.03.2024..mp3,https://static.parlament.ba/doc/165720_11.%20hitna%20PD%2008.03.2024..pdf,2024-03-08 00:00:00,"11. hitna sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2578&ConvernerId=1
2565,https://static.parlament.ba/doc/165289_16.%20sjednica%20Predstavni%c4%8dkog%20doma%20PSBiH%2029.2.2024..mp3,https://static.parlament.ba/doc/165366_16.sjed.%20Predstavnickog%20doma%2028022024.pdf,2024-02-28 00:00:00,"16. sjednica Predstavničkog doma
Parlamentarne skupštine Bosne i Hercegovine",https://parlament.ba/session/OSessionDetails?id=2565&ConvernerId=1
