transcript_date,transcript_url,reason
2022-01-06,https://www.saeima.lv/lv/transcripts/view/2345,No video links found
2022-06-08,https://www.saeima.lv/lv/transcripts/view/2393,No video links found
2022-06-08,https://www.saeima.lv/lv/transcripts/view/2391,No video links found
2022-06-08,https://www.saeima.lv/lv/transcripts/view/2394,No video links found
2022-06-09,https://www.saeima.lv/lv/transcripts/view/2392,No video links found
2022-06-16,https://www.saeima.lv/lv/transcripts/view/2395,No video links found
2022-10-27,https://www.saeima.lv/lv/transcripts/view/2415,No video links found
2021-01-07,https://www.saeima.lv/lv/transcripts/view/2177,Failed to scrape page
2021-12-01,https://www.saeima.lv/lv/transcripts/view/2329,No video links found
2020-01-09,https://www.saeima.lv/lv/transcripts/view/2032,No video links found
2020-01-16,https://www.saeima.lv/lv/transcripts/view/2033,No video links found
2020-01-23,https://www.saeima.lv/lv/transcripts/view/2034,No video links found
2020-01-23,https://www.saeima.lv/lv/transcripts/view/2035,No video links found
2020-01-30,https://www.saeima.lv/lv/transcripts/view/2036,No video links found
2020-02-06,https://www.saeima.lv/lv/transcripts/view/2038,No video links found
2020-02-13,https://www.saeima.lv/lv/transcripts/view/2039,No video links found
2020-02-13,https://www.saeima.lv/lv/transcripts/view/2040,No video links found
2020-02-20,https://www.saeima.lv/lv/transcripts/view/2041,No video links found
2020-02-27,https://www.saeima.lv/lv/transcripts/view/2043,No video links found
2020-03-27,https://www.saeima.lv/lv/transcripts/view/2045,No video links found
2020-03-05,https://www.saeima.lv/lv/transcripts/view/2044,No video links found
2020-03-05,https://www.saeima.lv/lv/transcripts/view/2046,No video links found
2020-03-05,https://www.saeima.lv/lv/transcripts/view/2047,No video links found
2020-03-05,https://www.saeima.lv/lv/transcripts/view/2048,No video links found
2020-03-12,https://www.saeima.lv/lv/transcripts/view/2051,No video links found
2020-03-05,https://www.saeima.lv/lv/transcripts/view/2049,No video links found
2020-03-13,https://www.saeima.lv/lv/transcripts/view/2052,No video links found
2020-03-05,https://www.saeima.lv/lv/transcripts/view/2053,No video links found
2020-03-20,https://www.saeima.lv/lv/transcripts/view/2057,No video links found
2020-04-02,https://www.saeima.lv/lv/transcripts/view/2058,No video links found
2020-04-02,https://www.saeima.lv/lv/transcripts/view/2059,No video links found
2020-04-03,https://www.saeima.lv/lv/transcripts/view/2060,No video links found
2020-04-03,https://www.saeima.lv/lv/transcripts/view/2061,No video links found
2020-04-03,https://www.saeima.lv/lv/transcripts/view/2062,No video links found
2020-04-16,https://www.saeima.lv/lv/transcripts/view/2063,No video links found
2020-04-16,https://www.saeima.lv/lv/transcripts/view/2064,No video links found
2020-04-16,https://www.saeima.lv/lv/transcripts/view/2065,No video links found
2020-04-23,https://www.saeima.lv/lv/transcripts/view/2066,No video links found
2020-04-23,https://www.saeima.lv/lv/transcripts/view/2067,No video links found
2020-05-04,https://www.saeima.lv/lv/transcripts/view/2072,No video links found
2020-09-03,https://www.saeima.lv/lv/transcripts/view/2110,No video links found
2020-09-10,https://www.saeima.lv/lv/transcripts/view/2111,No video links found
2020-09-17,https://www.saeima.lv/lv/transcripts/view/2112,No video links found
2020-09-17,https://www.saeima.lv/lv/transcripts/view/2113,No video links found
2020-09-24,https://www.saeima.lv/lv/transcripts/view/2114,No video links found
2020-09-24,https://www.saeima.lv/lv/transcripts/view/2115,No video links found
2020-10-01,https://www.saeima.lv/lv/transcripts/view/2116,No video links found
2020-10-01,https://www.saeima.lv/lv/transcripts/view/2117,No video links found
2020-10-01,https://www.saeima.lv/lv/transcripts/view/2118,No video links found
2020-10-08,https://www.saeima.lv/lv/transcripts/view/2119,No video links found
2020-10-08,https://www.saeima.lv/lv/transcripts/view/2120,No video links found
