Date,Time,URL,Legislation,Title
2014-10-30 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20141030103526_saeima1_1_0,11,
2014-10-30 00:00:00,11.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20141030130326_saeima1_1_0,11,
2014-10-30 00:00:00,13.30,https://cdn.tiesraides.lv/560x420/saeima.lv/20141030214327_saeima1_1,11,
2014-10-23 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20141023104823_saeima1_1_0,11,
2014-10-23 00:00:00,11.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20141023114020_saeima1_1,11,
2014-10-16 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20141016104026_saeima1_1_0,11,
2014-10-16 00:00:00,11.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20141016123419_saeima1_1_0,11,
2014-10-16 00:00:00,13.30,https://cdn.tiesraides.lv/560x420/saeima.lv/20141016141327_saeima1_1,11,
2014-10-09 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20141009104520_saeima1_1,11,
2014-10-02 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20141002103423_saeima1_1_0,11,
2014-10-02 00:00:00,11.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20141002121025_saeima1_1,11,
2014-09-25 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140925103826_saeima1_1_0,11,
2014-09-25 00:00:00,11.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140925131925_saeima1_1,11,
2014-09-18 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140918103821_saeima1_1_0,11,
2014-09-18 00:00:00,11.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140918112524_saeima1_1,11,
2014-09-11 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140911092022_saeima1_1_0,11,
2014-09-11 00:00:00,10.05,https://cdn.tiesraides.lv/560x420/saeima.lv/20140911122224_saeima1_1_0,11,
2014-09-11 00:00:00,13.15,https://cdn.tiesraides.lv/560x420/saeima.lv/20140911141123_saeima1_1,11,
2014-09-04 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140904091723_saeima1_1_0,11,
2014-09-04 00:00:00,9.40,https://cdn.tiesraides.lv/560x420/saeima.lv/20140904102721_saeima1_1_0,11,
2014-09-04 00:00:00,11.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140904113924_saeima1_1,11,
2014-08-21 00:00:00,10.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140821103523_saeima1_1,11,
2014-08-13 00:00:00,10.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140813104924_saeima1_1,11,
2014-07-24 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140724102921_saeima1_1,11,
2014-07-14 00:00:00,10.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140714101122_saeima1_1_0,11,
2014-07-14 00:00:00,10.15,https://cdn.tiesraides.lv/560x420/saeima.lv/20140714102822_saeima1_1_0,11,
2014-07-14 00:00:00,10.40,https://cdn.tiesraides.lv/560x420/saeima.lv/20140714110518_saeima1_1_0,11,
2014-07-14 00:00:00,11.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140714165622_saeima1_1_0,11,
2014-07-14 00:00:00,11.15,https://cdn.tiesraides.lv/560x420/saeima.lv/20140714114023_saeima1_1_0,11,
2014-07-14 00:00:00,11:35,https://cdn.tiesraides.lv/560x420/saeima.lv/20140714133435_saeima1_1,11,
2014-07-03 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140703103823_saeima1_1_0,11,
2014-07-03 00:00:00,11.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140703123018_saeima1_1_0,11,
2014-07-03 00:00:00,13.30,https://cdn.tiesraides.lv/560x420/saeima.lv/20140703151221_saeima1_1_0,11,
2014-07-03 00:00:00,15.30,https://cdn.tiesraides.lv/560x420/saeima.lv/20140703170618_saeima1_1_0,11,
2014-07-03 00:00:00,17.30,https://cdn.tiesraides.lv/560x420/saeima.lv/20140703181021_saeima1_1,11,
2014-06-19 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140619103621_saeima1_1_0,11,
2014-06-19 00:00:00,11.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140619131720_saeima1_1_0,11,
2014-06-19 00:00:00,13.30,https://cdn.tiesraides.lv/560x420/saeima.lv/20140619145824_saeima1_1,11,
2014-06-12 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140612103924_saeima1_1_0,11,
2014-06-12 00:00:00,11.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140612130421_saeima1_1,11,
2014-06-05 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140605103527_saeima1_1_0,11,
2014-06-05 00:00:00,11.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140605131822_saeima1_1_0,11,
2014-06-05 00:00:00,14.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140605175718_saeima1_1,11,
2014-05-29 00:00:00,9.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140529103621_saeima1_1_0,11,
2014-05-29 00:00:00,11.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140529120621_saeima1_1,11,
2014-05-29 00:00:00,17.00,https://cdn.tiesraides.lv/560x420/saeima.lv/20140529172023_saeima1_1,11,
