transcript_date,transcript_url,video_url,video_time
2022-02-03,https://www.saeima.lv/lv/transcripts/view/2356,"https://cdn.tiesraides.lv/saeima.lv/20220203100301_saeima.lv.1_0_0,",9.00
2022-02-03,https://www.saeima.lv/lv/transcripts/view/2356,"https://cdn.tiesraides.lv/saeima.lv/20220203124201_saeima.lv.1_0_0,",11.00
2022-02-03,https://www.saeima.lv/lv/transcripts/view/2356,"https://cdn.tiesraides.lv/saeima.lv/20220203150702_saeima.lv.1_0,",13.30
2022-02-10,https://www.saeima.lv/lv/transcripts/view/2357,"https://cdn.tiesraides.lv/saeima.lv/20220210091701_saeima.lv.1_0_0,",9.00
2022-02-10,https://www.saeima.lv/lv/transcripts/view/2357,"https://cdn.tiesraides.lv/saeima.lv/20220210103501_saeima.lv.1_0_0,",9.30
2022-02-10,https://www.saeima.lv/lv/transcripts/view/2357,"https://cdn.tiesraides.lv/saeima.lv/20220210123801_saeima.lv.1_0_0,",11.00
2022-02-10,https://www.saeima.lv/lv/transcripts/view/2357,"https://cdn.tiesraides.lv/saeima.lv/20220210151001_saeima.lv.1_0_0,",13.30
2022-02-10,https://www.saeima.lv/lv/transcripts/view/2358,"https://cdn.tiesraides.lv/saeima.lv/20220210091701_saeima.lv.1_0_0,",9.00
2022-02-10,https://www.saeima.lv/lv/transcripts/view/2358,"https://cdn.tiesraides.lv/saeima.lv/20220210103501_saeima.lv.1_0_0,",9.30
2022-02-10,https://www.saeima.lv/lv/transcripts/view/2358,"https://cdn.tiesraides.lv/saeima.lv/20220210123801_saeima.lv.1_0_0,",11.00
2022-02-10,https://www.saeima.lv/lv/transcripts/view/2358,"https://cdn.tiesraides.lv/saeima.lv/20220210151001_saeima.lv.1_0_0,",13.30
2022-02-10,https://www.saeima.lv/lv/transcripts/view/2358,"https://cdn.tiesraides.lv/saeima.lv/20220210171001_saeima.lv.1_0_0,",15.30
2022-02-10,https://www.saeima.lv/lv/transcripts/view/2358,"https://cdn.tiesraides.lv/saeima.lv/20220210190601_saeima.lv.1_0_0,",17.30
2022-02-10,https://www.saeima.lv/lv/transcripts/view/2358,"https://cdn.tiesraides.lv/saeima.lv/20220210212202_saeima.lv.1_0,",19.15
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2359,"https://cdn.tiesraides.lv/saeima.lv/20220217091201_saeima.lv.1_0_0,",9.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2359,"https://cdn.tiesraides.lv/saeima.lv/20220217104501_saeima.lv.1_0_0,",9.20
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2359,"https://cdn.tiesraides.lv/saeima.lv/20220217123801_saeima.lv.1_0_0,",11.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2359,"https://cdn.tiesraides.lv/saeima.lv/20220217150001_saeima.lv.1_0_0,",13.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2359,"https://cdn.tiesraides.lv/saeima.lv/20220217150101_saeima.lv.1_0_0,",14.00
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2359,"https://cdn.tiesraides.lv/saeima.lv/20220217155902_saeima.lv.1_0_0,",15.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2359,"https://cdn.tiesraides.lv/saeima.lv/20220217182301_saeima.lv.1_0,",16.30
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2359,"https://cdn.tiesraides.lv/saeima.lv/20220217182501_saeima.lv.1_0,",16.50
2022-02-17,https://www.saeima.lv/lv/transcripts/view/2362,"https://cdn.tiesraides.lv/saeima.lv/20220217091201_saeima.lv.1_0_0,",9.00
