transcript_id,generic_video_link,html_link
XI_3_66,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21514,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016844
XI_3_65,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21850,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016843
XI_3_64,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21849,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016842
XI_3_63,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21845,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016841
XI_3_62,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21837,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016840
XI_3_61,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21836,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016839
XI_3_60,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21835,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016838
XI_3_59,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21834,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016837
XI_3_58,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21833,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016836
XI_3_57,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21832,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016835
XI_3_56,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21831,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016834
XI_3_55,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21830,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016833
XI_3_54,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21829,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016832
XI_3_53,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21828,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016831
XI_3_52,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21827,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016830
XI_3_51,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21826,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016829
XI_3_50,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21825,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016828
XI_3_49,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21498,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016827
XI_3_48,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21838,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016826
XI_3_47,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21844,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016825
XI_3_46,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21542,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016824
XI_3_45,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21500,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016823
XI_3_44,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21499,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016822
XI_3_43,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21847,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016821
XI_3_42,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21560,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016820
XI_3_41,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21571,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016819
XI_3_40,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21574,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016818
XI_3_39,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21568,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016817
XI_3_38,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21580,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016816
XI_3_37,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21570,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016815
XI_3_36,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21579,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016814
XI_3_35,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21569,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016813
XI_3_34,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21573,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016812
XI_3_33,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21584,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016811
XI_3_32,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21582,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016810
XI_3_31,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21625,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016809
XI_3_30,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21800,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016808
XI_3_29,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21821,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016807
XI_3_28,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21820,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016806
XI_3_27,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21605,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016805
XI_3_26,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21546,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016804
XI_3_25,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21799,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016802
XI_3_24,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21798,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016801
XI_3_23,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21802,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016800
XI_3_22,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21801,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016799
XI_3_21,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21507,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016798
XI_3_20,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21608,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016797
XI_3_19,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21609,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016796
XI_3_18,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21628,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016795
XI_3_17,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21508,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016794
XI_3_16,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21506,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016793
XI_3_15,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21607,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016787
XI_3_14,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21606,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016786
XI_3_13,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21519,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016785
XI_3_12,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21505,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016777
XI_3_11,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21504,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016776
XI_3_10,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21511,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016775
XI_3_9,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21509,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016773
XI_3_8,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21544,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016772
XI_3_7,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21510,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016771
XI_3_6,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21590,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016770
XI_3_5,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21591,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016769
XI_3_4,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21502,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016768
XI_3_3,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21503,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016767
XI_3_2,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21501,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016766
XI_3_1,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21604,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016765
XI_3_-,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21474,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016764
XI_2_35,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21356,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016760
XI_2_34,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21350,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016759
XI_2_33,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21473,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016758
XI_2_32,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21472,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016757
XI_2_31,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21427,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016755
XI_2_30,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21428,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016754
XI_2_29,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21437,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016753
XI_2_28,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21429,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016752
XI_2_27,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21331,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016751
XI_2_26,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21419,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016750
XI_2_25,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21418,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016749
XI_2_24,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21417,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016748
XI_2_23,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21344,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016747
XI_2_22,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21320,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016746
XI_2_21,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21416,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016744
XI_2_20,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21325,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016743
XI_2_19,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21414,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016737
XI_2_18,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21312,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016736
XI_2_17,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21406,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016735
XI_2_16,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21329,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016734
XI_2_15,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21413,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016733
XI_2_14,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21314,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016732
XI_2_13,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21311,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016731
XI_2_12,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21359,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016723
XI_2_11,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21358,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016722
XI_2_10,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21375,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016721
