convocation,session,order_no,transcript_url,recording_url
XI,3,67,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016845,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21824
XI,3,66,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016844,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21514
XI,3,65,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016843,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21850
XI,3,64,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016842,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21849
XI,3,63,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016841,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21845
XI,3,62,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016840,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21837
XI,3,61,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016839,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21836
XI,3,60,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016838,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21835
XI,3,59,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016837,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21834
XI,3,58,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016836,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21833
XI,3,57,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016835,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21832
XI,3,56,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016834,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21831
XI,3,55,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016833,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21830
XI,3,54,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016832,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21829
XI,3,53,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016831,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21828
XI,3,52,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016830,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21827
XI,3,51,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016829,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21826
XI,3,50,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016828,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21825
XI,3,49,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016827,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21498
XI,3,48,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016826,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21838
XI,3,47,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016825,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21844
XI,3,46,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016824,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21542
XI,3,45,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016823,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21500
XI,3,44,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016822,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21499
XI,3,43,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016821,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21847
XI,3,42,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016820,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21560
XI,3,41,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016819,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21571
XI,3,40,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016818,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21574
XI,3,39,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016817,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21568
XI,3,38,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016816,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21580
XI,3,37,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016815,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21570
XI,3,36,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016814,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21579
XI,3,35,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016813,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21569
XI,3,34,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016812,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21573
XI,3,33,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016811,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21584
XI,3,32,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016810,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21582
XI,3,31,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016809,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21625
XI,3,30,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016808,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21800
XI,3,29,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016807,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21821
XI,3,28,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016806,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21820
XI,3,27,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016805,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21605
XI,3,26,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016804,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21546
XI,3,25,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016802,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21799
XI,3,24,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016801,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21798
XI,3,23,https://edoc.sabor.hr/Views/FonogramView.aspx?tdrid=2016800,https://edoc.sabor.hr/VideoTDR.aspx?tdrid=21802
