date,sitting_number,html_link,pdf_link,month,legislation,year
Sabato 22 Dicembre 2018,77,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1093716,https://www.senato.it/service/PDF/PDFServer/BGT/1093716.pdf,Dicembre,18,2018
Venerdì 21 Dicembre 2018,76,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1093703,https://www.senato.it/service/PDF/PDFServer/BGT/1093703.pdf,Dicembre,18,2018
Giovedì 20 Dicembre 2018,75,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1093680,https://www.senato.it/service/PDF/PDFServer/BGT/1093680.pdf,Dicembre,18,2018
Mercoledì 19 Dicembre 2018,74,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1089595,https://www.senato.it/service/PDF/PDFServer/BGT/1089595.pdf,Dicembre,18,2018
Martedì 18 Dicembre 2018,73,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1089549,https://www.senato.it/service/PDF/PDFServer/BGT/1089549.pdf,Dicembre,18,2018
Giovedì 13 Dicembre 2018,72,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1084989,https://www.senato.it/service/PDF/PDFServer/BGT/1084989.pdf,Dicembre,18,2018
Mercoledì 12 Dicembre 2018,71,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1084958,https://www.senato.it/service/PDF/PDFServer/BGT/1084958.pdf,Dicembre,18,2018
Martedì 11 Dicembre 2018,70,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1084842,https://www.senato.it/service/PDF/PDFServer/BGT/1084842.pdf,Dicembre,18,2018
Lunedì 10 Dicembre 2018,69,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1084756,https://www.senato.it/service/PDF/PDFServer/BGT/1084756.pdf,Dicembre,18,2018
Giovedì 06 Dicembre 2018,68,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1084427,https://www.senato.it/service/PDF/PDFServer/BGT/1084427.pdf,Dicembre,18,2018
Mercoledì 05 Dicembre 2018,67,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1084377,https://www.senato.it/service/PDF/PDFServer/BGT/1084377.pdf,Dicembre,18,2018
Martedì 04 Dicembre 2018,66,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1084189,https://www.senato.it/service/PDF/PDFServer/BGT/1084189.pdf,Dicembre,18,2018
Giovedì 29 Novembre 2018,65,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1083653,https://www.senato.it/service/PDF/PDFServer/BGT/1083653.pdf,Novembre,18,2018
Mercoledì 28 Novembre 2018,64,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1083576,https://www.senato.it/service/PDF/PDFServer/BGT/1083576.pdf,Novembre,18,2018
Martedì 27 Novembre 2018,63,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1083447,https://www.senato.it/service/PDF/PDFServer/BGT/1083447.pdf,Novembre,18,2018
Giovedì 22 Novembre 2018,62,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1083099,https://www.senato.it/service/PDF/PDFServer/BGT/1083099.pdf,Novembre,18,2018
Mercoledì 21 Novembre 2018,61,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1083028,https://www.senato.it/service/PDF/PDFServer/BGT/1083028.pdf,Novembre,18,2018
Martedì 20 Novembre 2018,60,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1082942,https://www.senato.it/service/PDF/PDFServer/BGT/1082942.pdf,Novembre,18,2018
Giovedì 15 Novembre 2018,59,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1082725,https://www.senato.it/service/PDF/PDFServer/BGT/1082725.pdf,Novembre,18,2018
Mercoledì 14 Novembre 2018,58,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1082027,https://www.senato.it/service/PDF/PDFServer/BGT/1082027.pdf,Novembre,18,2018
Martedì 13 Novembre 2018,57,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=18&id=1081911,https://www.senato.it/service/PDF/PDFServer/BGT/1081911.pdf,Novembre,18,2018
