date,sitting_number,html_link,pdf_link,month,legislation,year
Martedì 19 Dicembre 2006,91,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=231353,https://www.senato.it/service/PDF/PDFServer/BGT/231353.pdf,Dicembre,15,2006
Venerdì 15 Dicembre 2006,89,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=230933,https://www.senato.it/service/PDF/PDFServer/BGT/230933.pdf,Dicembre,15,2006
Venerdì 15 Dicembre 2006,90,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=230938,https://www.senato.it/service/PDF/PDFServer/BGT/230938.pdf,Dicembre,15,2006
Giovedì 14 Dicembre 2006,87,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=230412,https://www.senato.it/service/PDF/PDFServer/BGT/230412.pdf,Dicembre,15,2006
Giovedì 14 Dicembre 2006,88,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=230436,https://www.senato.it/service/PDF/PDFServer/BGT/230436.pdf,Dicembre,15,2006
Mercoledì 13 Dicembre 2006,85,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=230371,https://www.senato.it/service/PDF/PDFServer/BGT/230371.pdf,Dicembre,15,2006
Mercoledì 13 Dicembre 2006,86,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=230394,https://www.senato.it/service/PDF/PDFServer/BGT/230394.pdf,Dicembre,15,2006
Martedì 12 Dicembre 2006,83,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=227361,https://www.senato.it/service/PDF/PDFServer/BGT/227361.pdf,Dicembre,15,2006
Martedì 12 Dicembre 2006,84,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=228485,https://www.senato.it/service/PDF/PDFServer/BGT/228485.pdf,Dicembre,15,2006
Giovedì 23 Novembre 2006,81,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=223693,https://www.senato.it/service/PDF/PDFServer/BGT/223693.pdf,Novembre,15,2006
Giovedì 23 Novembre 2006,82,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=223692,https://www.senato.it/service/PDF/PDFServer/BGT/223692.pdf,Novembre,15,2006
Mercoledì 22 Novembre 2006,79,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=223615,https://www.senato.it/service/PDF/PDFServer/BGT/223615.pdf,Novembre,15,2006
Mercoledì 22 Novembre 2006,80,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=223647,https://www.senato.it/service/PDF/PDFServer/BGT/223647.pdf,Novembre,15,2006
Martedì 21 Novembre 2006,77,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=223544,https://www.senato.it/service/PDF/PDFServer/BGT/223544.pdf,Novembre,15,2006
Martedì 21 Novembre 2006,78,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=223606,https://www.senato.it/service/PDF/PDFServer/BGT/223606.pdf,Novembre,15,2006
Giovedì 16 Novembre 2006,75,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=223221,https://www.senato.it/service/PDF/PDFServer/BGT/223221.pdf,Novembre,15,2006
Giovedì 16 Novembre 2006,76,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=223264,https://www.senato.it/service/PDF/PDFServer/BGT/223264.pdf,Novembre,15,2006
Mercoledì 15 Novembre 2006,73,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=223092,https://www.senato.it/service/PDF/PDFServer/BGT/223092.pdf,Novembre,15,2006
Mercoledì 15 Novembre 2006,74,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=223153,https://www.senato.it/service/PDF/PDFServer/BGT/223153.pdf,Novembre,15,2006
Martedì 14 Novembre 2006,71,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=223025,https://www.senato.it/service/PDF/PDFServer/BGT/223025.pdf,Novembre,15,2006
Martedì 14 Novembre 2006,72,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=223058,https://www.senato.it/service/PDF/PDFServer/BGT/223058.pdf,Novembre,15,2006
Giovedì 09 Novembre 2006,69,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=222551,https://www.senato.it/service/PDF/PDFServer/BGT/222551.pdf,Novembre,15,2006
Giovedì 09 Novembre 2006,70,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=222550,https://www.senato.it/service/PDF/PDFServer/BGT/222550.pdf,Novembre,15,2006
Mercoledì 08 Novembre 2006,67,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=222427,https://www.senato.it/service/PDF/PDFServer/BGT/222427.pdf,Novembre,15,2006
Mercoledì 08 Novembre 2006,68,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=222513,https://www.senato.it/service/PDF/PDFServer/BGT/222513.pdf,Novembre,15,2006
Martedì 07 Novembre 2006,65,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=222074,https://www.senato.it/service/PDF/PDFServer/BGT/222074.pdf,Novembre,15,2006
Martedì 07 Novembre 2006,66,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=222258,https://www.senato.it/service/PDF/PDFServer/BGT/222258.pdf,Novembre,15,2006
Giovedì 26 Ottobre 2006,63,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=221782,https://www.senato.it/service/PDF/PDFServer/BGT/221782.pdf,Ottobre,15,2006
Giovedì 26 Ottobre 2006,64,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=221809,https://www.senato.it/service/PDF/PDFServer/BGT/221809.pdf,Ottobre,15,2006
Mercoledì 25 Ottobre 2006,61,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=221678,https://www.senato.it/service/PDF/PDFServer/BGT/221678.pdf,Ottobre,15,2006
Mercoledì 25 Ottobre 2006,62,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=221766,https://www.senato.it/service/PDF/PDFServer/BGT/221766.pdf,Ottobre,15,2006
Martedì 24 Ottobre 2006,60,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=221624,https://www.senato.it/service/PDF/PDFServer/BGT/221624.pdf,Ottobre,15,2006
Giovedì 19 Ottobre 2006,58,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=221215,https://www.senato.it/service/PDF/PDFServer/BGT/221215.pdf,Ottobre,15,2006
Giovedì 19 Ottobre 2006,59,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=221217,https://www.senato.it/service/PDF/PDFServer/BGT/221217.pdf,Ottobre,15,2006
Mercoledì 18 Ottobre 2006,56,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=221078,https://www.senato.it/service/PDF/PDFServer/BGT/221078.pdf,Ottobre,15,2006
Mercoledì 18 Ottobre 2006,57,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=221132,https://www.senato.it/service/PDF/PDFServer/BGT/221132.pdf,Ottobre,15,2006
Martedì 17 Ottobre 2006,54,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=220628,https://www.senato.it/service/PDF/PDFServer/BGT/220628.pdf,Ottobre,15,2006
Martedì 17 Ottobre 2006,55,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=220869,https://www.senato.it/service/PDF/PDFServer/BGT/220869.pdf,Ottobre,15,2006
Giovedì 12 Ottobre 2006,52,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=220519,https://www.senato.it/service/PDF/PDFServer/BGT/220519.pdf,Ottobre,15,2006
Giovedì 12 Ottobre 2006,53,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=15&id=220540,https://www.senato.it/service/PDF/PDFServer/BGT/220540.pdf,Ottobre,15,2006
