date,sitting_number,html_link,pdf_link,month,legislation,year
Lunedì 22 Dicembre 2008,120,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=333825,https://www.senato.it/service/PDF/PDFServer/BGT/333825.pdf,Dicembre,16,2008
Lunedì 22 Dicembre 2008,121,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=333898,https://www.senato.it/service/PDF/PDFServer/BGT/333898.pdf,Dicembre,16,2008
Giovedì 18 Dicembre 2008,118,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=333641,https://www.senato.it/service/PDF/PDFServer/BGT/333641.pdf,Dicembre,16,2008
Giovedì 18 Dicembre 2008,119,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=333665,https://www.senato.it/service/PDF/PDFServer/BGT/333665.pdf,Dicembre,16,2008
Mercoledì 17 Dicembre 2008,116,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=333493,https://www.senato.it/service/PDF/PDFServer/BGT/333493.pdf,Dicembre,16,2008
Mercoledì 17 Dicembre 2008,117,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=333528,https://www.senato.it/service/PDF/PDFServer/BGT/333528.pdf,Dicembre,16,2008
Martedì 16 Dicembre 2008,115,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=333303,https://www.senato.it/service/PDF/PDFServer/BGT/333303.pdf,Dicembre,16,2008
Giovedì 11 Dicembre 2008,113,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=330760,https://www.senato.it/service/PDF/PDFServer/BGT/330760.pdf,Dicembre,16,2008
Giovedì 11 Dicembre 2008,114,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=330840,https://www.senato.it/service/PDF/PDFServer/BGT/330840.pdf,Dicembre,16,2008
Mercoledì 10 Dicembre 2008,111,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=330704,https://www.senato.it/service/PDF/PDFServer/BGT/330704.pdf,Dicembre,16,2008
Mercoledì 10 Dicembre 2008,112,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=330732,https://www.senato.it/service/PDF/PDFServer/BGT/330732.pdf,Dicembre,16,2008
Martedì 09 Dicembre 2008,109,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=330611,https://www.senato.it/service/PDF/PDFServer/BGT/330611.pdf,Dicembre,16,2008
Martedì 09 Dicembre 2008,110,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=330647,https://www.senato.it/service/PDF/PDFServer/BGT/330647.pdf,Dicembre,16,2008
Mercoledì 03 Dicembre 2008,107,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=325983,https://www.senato.it/service/PDF/PDFServer/BGT/325983.pdf,Dicembre,16,2008
Mercoledì 03 Dicembre 2008,108,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=326097,https://www.senato.it/service/PDF/PDFServer/BGT/326097.pdf,Dicembre,16,2008
Martedì 02 Dicembre 2008,106,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=325556,https://www.senato.it/service/PDF/PDFServer/BGT/325556.pdf,Dicembre,16,2008
Venerdì 28 Novembre 2008,105,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=323222,https://www.senato.it/service/PDF/PDFServer/BGT/323222.pdf,Novembre,16,2008
Giovedì 27 Novembre 2008,103,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=323155,https://www.senato.it/service/PDF/PDFServer/BGT/323155.pdf,Novembre,16,2008
Giovedì 27 Novembre 2008,104,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=323208,https://www.senato.it/service/PDF/PDFServer/BGT/323208.pdf,Novembre,16,2008
Mercoledì 26 Novembre 2008,101,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=322858,https://www.senato.it/service/PDF/PDFServer/BGT/322858.pdf,Novembre,16,2008
Mercoledì 26 Novembre 2008,102,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=323003,https://www.senato.it/service/PDF/PDFServer/BGT/323003.pdf,Novembre,16,2008
Martedì 25 Novembre 2008,99,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=321826,https://www.senato.it/service/PDF/PDFServer/BGT/321826.pdf,Novembre,16,2008
Martedì 25 Novembre 2008,100,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=321928,https://www.senato.it/service/PDF/PDFServer/BGT/321928.pdf,Novembre,16,2008
Giovedì 20 Novembre 2008,97,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=321164,https://www.senato.it/service/PDF/PDFServer/BGT/321164.pdf,Novembre,16,2008
Giovedì 20 Novembre 2008,98,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=321166,https://www.senato.it/service/PDF/PDFServer/BGT/321166.pdf,Novembre,16,2008
Mercoledì 19 Novembre 2008,95,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=320950,https://www.senato.it/service/PDF/PDFServer/BGT/320950.pdf,Novembre,16,2008
Mercoledì 19 Novembre 2008,96,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=321046,https://www.senato.it/service/PDF/PDFServer/BGT/321046.pdf,Novembre,16,2008
Martedì 18 Novembre 2008,93,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=319338,https://www.senato.it/service/PDF/PDFServer/BGT/319338.pdf,Novembre,16,2008
Martedì 18 Novembre 2008,94,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=320552,https://www.senato.it/service/PDF/PDFServer/BGT/320552.pdf,Novembre,16,2008
Giovedì 13 Novembre 2008,91,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=316967,https://www.senato.it/service/PDF/PDFServer/BGT/316967.pdf,Novembre,16,2008
Giovedì 13 Novembre 2008,92,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=316971,https://www.senato.it/service/PDF/PDFServer/BGT/316971.pdf,Novembre,16,2008
Mercoledì 12 Novembre 2008,89,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=316851,https://www.senato.it/service/PDF/PDFServer/BGT/316851.pdf,Novembre,16,2008
Mercoledì 12 Novembre 2008,90,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=316888,https://www.senato.it/service/PDF/PDFServer/BGT/316888.pdf,Novembre,16,2008
Martedì 11 Novembre 2008,88,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=316823,https://www.senato.it/service/PDF/PDFServer/BGT/316823.pdf,Novembre,16,2008
Giovedì 06 Novembre 2008,87,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=316620,https://www.senato.it/service/PDF/PDFServer/BGT/316620.pdf,Novembre,16,2008
Mercoledì 05 Novembre 2008,85,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=316485,https://www.senato.it/service/PDF/PDFServer/BGT/316485.pdf,Novembre,16,2008
Mercoledì 05 Novembre 2008,86,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=16&id=316521,https://www.senato.it/service/PDF/PDFServer/BGT/316521.pdf,Novembre,16,2008
