date,sitting_number,html_link,pdf_link,month,legislation,year
Giovedì 29 Dicembre 2022,24,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1365887,https://www.senato.it/service/PDF/PDFServer/BGT/1365887.pdf,Dicembre,19,2022
Mercoledì 28 Dicembre 2022,23,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1364970,https://www.senato.it/service/PDF/PDFServer/BGT/1364970.pdf,Dicembre,19,2022
Martedì 27 Dicembre 2022,22,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1363951,https://www.senato.it/service/PDF/PDFServer/BGT/1363951.pdf,Dicembre,19,2022
Mercoledì 21 Dicembre 2022,21,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1363861,https://www.senato.it/service/PDF/PDFServer/BGT/1363861.pdf,Dicembre,19,2022
Martedì 20 Dicembre 2022,20,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1363838,https://www.senato.it/service/PDF/PDFServer/BGT/1363838.pdf,Dicembre,19,2022
Giovedì 15 Dicembre 2022,19,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1363297,https://www.senato.it/service/PDF/PDFServer/BGT/1363297.pdf,Dicembre,19,2022
Mercoledì 14 Dicembre 2022,18,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1363274,https://www.senato.it/service/PDF/PDFServer/BGT/1363274.pdf,Dicembre,19,2022
Martedì 13 Dicembre 2022,17,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1363156,https://www.senato.it/service/PDF/PDFServer/BGT/1363156.pdf,Dicembre,19,2022
Lunedì 12 Dicembre 2022,16,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1363055,https://www.senato.it/service/PDF/PDFServer/BGT/1363055.pdf,Dicembre,19,2022
Martedì 06 Dicembre 2022,15,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1362761,https://www.senato.it/service/PDF/PDFServer/BGT/1362761.pdf,Dicembre,19,2022
Giovedì 01 Dicembre 2022,14,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1361942,https://www.senato.it/service/PDF/PDFServer/BGT/1361942.pdf,Dicembre,19,2022
Mercoledì 30 Novembre 2022,13,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1361915,https://www.senato.it/service/PDF/PDFServer/BGT/1361915.pdf,Novembre,19,2022
Martedì 29 Novembre 2022,12,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1361831,https://www.senato.it/service/PDF/PDFServer/BGT/1361831.pdf,Novembre,19,2022
Giovedì 24 Novembre 2022,11,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1361666,https://www.senato.it/service/PDF/PDFServer/BGT/1361666.pdf,Novembre,19,2022
Martedì 22 Novembre 2022,10,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1361576,https://www.senato.it/service/PDF/PDFServer/BGT/1361576.pdf,Novembre,19,2022
Giovedì 17 Novembre 2022,9,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1361536,https://www.senato.it/service/PDF/PDFServer/BGT/1361536.pdf,Novembre,19,2022
Mercoledì 16 Novembre 2022,8,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1361515,https://www.senato.it/service/PDF/PDFServer/BGT/1361515.pdf,Novembre,19,2022
Mercoledì 09 Novembre 2022,7,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1361152,https://www.senato.it/service/PDF/PDFServer/BGT/1361152.pdf,Novembre,19,2022
Martedì 08 Novembre 2022,6,https://www.senato.it/japp/bgt/showdoc/frame.jsp?tipodoc=Resaula&leg=19&id=1361130,https://www.senato.it/service/PDF/PDFServer/BGT/1361130.pdf,Novembre,19,2022
