video_id,mp3_link,docx_link,doc_link
11_039_07102008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 039 07-10-2008 1800hrs.mp3,,https://parlament.mt/media/36649/20081007_039d_par.doc
11_040_08102008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 040 08-10-2008 1800hrs.mp3,,https://parlament.mt/media/36645/20081008_040d_par.doc
11_041_13102008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 041 13-10-2008 1800hrs.mp3,,https://parlament.mt/media/36641/20081013_041d_par.doc
11_042_14102008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 042 14-10-2008 1800hrs.mp3,,https://parlament.mt/media/36637/20081014_042d_par.doc
11_043_15102008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 043 15-10-2008 1800hrs.mp3,,https://parlament.mt/media/36633/20081015_043d_par.doc
11_044_20102008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 044 20-10-2008 1800hrs.mp3,,https://parlament.mt/media/36629/20081020_044d_par.doc
11_045_21102008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 045 21-10-2008 1800hrs.mp3,,https://parlament.mt/media/36625/20081021_045d_par.doc
11_046_22102008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 046 22-10-2008 1800hrs.mp3,,https://parlament.mt/media/36621/20081022_046d_par.doc
11_047_03112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 047 03-11-2008 1800hrs.mp3,,https://parlament.mt/media/36617/20081103_047d_par.doc
11_048_10112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 048 10-11-2008 1800hrs.mp3,,https://parlament.mt/media/36613/20081110_048d_par.doc
11_049_12112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 049 12-11-2008 1800hrs.mp3,,https://parlament.mt/media/36609/20081112_049d_par.doc
11_050_13112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 050 13-11-2008 0900hrs.mp3,,https://parlament.mt/media/36605/20081113_050d_par.doc
11_051_13112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 051 13-11-2008 1800hrs.mp3,,https://parlament.mt/media/36601/20081113_051d_par.doc
11_052_14112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 052 14-11-2008 0900hrs.mp3,,https://parlament.mt/media/36597/20081114_052d_par.doc
11_053_15112008,https://parlament.mt/audio/11thLeg/Plenary/Plenary%20053%2015-11-2008%200900hrs.mp3,,https://parlament.mt/media/36593/20081115_053d_par.doc
11_054_17112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 054 17-11-2008 0900hrs.mp3,,https://parlament.mt/media/36589/20081117_054d_par.doc
11_055_17112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 055 17-11-2008 1700hrs.mp3,,https://parlament.mt/media/36585/20081117_055d_par.doc
11_056_18112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 056 18-11-2008 0900hrs.mp3,,https://parlament.mt/media/36581/20081118_056d_par.doc
11_057_18112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 057 18-11-2008 1700hrs.mp3,,https://parlament.mt/media/36577/20081118_057d_par.doc
11_058_19112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 058 19-11-2008 0900hrs.mp3,,https://parlament.mt/media/36573/20081119_058d_par.doc
11_059_19112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 059 19-11-2008 1700hrs.mp3,,https://parlament.mt/media/36569/20081119_059d_par.doc
11_060_24112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 060 24-11-2008 1700hrs.mp3,,https://parlament.mt/media/36565/20081124_060d_par.doc
11_061_25112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 061 25-11-2008 1800hrs.mp3,,https://parlament.mt/media/36561/20081125_061d_par.doc
11_062_26112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 062 26-11-2008 1800hrs.mp3,,https://parlament.mt/media/36557/20081126_062d_par.doc
11_063_02122008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 063 02-12-2008 1800hrs.mp3,,https://parlament.mt/media/36553/20081202_063d_par.doc
11_064_03122008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 064 03-12-2008 1800hrs.mp3,,https://parlament.mt/media/36549/20081203_064d_par.doc
11_065_09122008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 065 09-12-2008 1800hrs.mp3,,https://parlament.mt/media/36545/20081209_065d_par.doc
11_066_10122008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 066 10-12-2008 1800hrs.mp3,,https://parlament.mt/media/36541/20081210_066d_par.doc
11_067_15122008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 067 15-12-2008 1800hrs.mp3,,https://parlament.mt/media/36537/20081215_067d_par.doc
11_068_12012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 068 12-01-2009 1800hrs.mp3,,https://parlament.mt/media/36533/20090112_068d_par.doc
11_069_13012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 069 13-01-2009 1800hrs.mp3,,https://parlament.mt/media/36529/20090113_069d_par.doc
11_070_14012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 070 14-01-2009 1800hrs.mp3,,https://parlament.mt/media/36525/20090114_070d_par.doc
11_071_15012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 071 15-01-2009 1800hrs.mp3,,https://parlament.mt/media/36521/20090115_071d_par.doc
11_072_19012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 072 19-01-2009 1800hrs.mp3,,https://parlament.mt/media/36517/20090119_072d_par.doc
11_073_20012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 073 20-01-2009 1800hrs.mp3,,https://parlament.mt/media/36513/20090120_073d_par.doc
11_074_21012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 074 21-01-2009 1800hrs.mp3,,https://parlament.mt/media/36509/20090121_074d_par.doc
11_075_26012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 075 26-01-2009 1800hrs.mp3,,https://parlament.mt/media/36505/20090126_075d_par.doc
11_076_27012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 076 27-01-2009 1800hrs.mp3,,https://parlament.mt/media/36501/20090127_076d_par.doc
11_077_28012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 077 28-01-2009 1800hrs.mp3,,https://parlament.mt/media/36497/20090128_077d_par.doc
11_078_02022009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 078 02-02-2009 1800hrs.mp3,,https://parlament.mt/media/36493/20090202_078d_par.doc
11_079_03022009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 079 03-02-2009 1800hrs.mp3,,https://parlament.mt/media/36489/20090203_079d_par.doc
11_080_04022009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 080 04-02-2009 1800hrs.mp3,,https://parlament.mt/media/36485/20090204_080d_par.doc
11_081_09022009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 081 09-02-2009 1800hrs.mp3,,https://parlament.mt/media/36481/20090209_081d_par.doc
11_082_11022009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 082 11-02-2009 1800hrs.mp3,,https://parlament.mt/media/36477/20090211_082d_par.doc
11_083_16022009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 083 16-02-2009 1800hrs.mp3,,https://parlament.mt/media/36473/20090216_083d_par.doc
11_084_17022009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 084 17-02-2009 1800hrs.mp3,,https://parlament.mt/media/36469/20090217_084d_par.doc
11_085_18022009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 085 18-02-2009 1800hrs.mp3,,https://parlament.mt/media/36465/20090218_085d_par.doc
11_086_02032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 086 02-03-2009 1800hrs.mp3,,https://parlament.mt/media/36461/20090302_086d_par.doc
11_087_03032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 087 03-03-2009 1800hrs.mp3,,https://parlament.mt/media/36457/20090303_087d_par.doc
11_088_04032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 088 04-03-2009 1800hrs.mp3,,https://parlament.mt/media/36453/20090304_088d_par.doc
11_089_09032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 089 09-03-2009 1800hrs.mp3,,https://parlament.mt/media/36449/20090309_089d_par.doc
11_090_10032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 090 10-03-2009 1800hrs.mp3,,https://parlament.mt/media/36445/20090310_090d_par.doc
11_091_11032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 091 11-03-2009 1800hrs.mp3,,https://parlament.mt/media/36441/20090311_091d_par.doc
11_092_16032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 092 16-03-2009 1800hrs.mp3,,https://parlament.mt/media/36437/20090316_092d_par.doc
11_093_17032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 093 17-03-2009 1800hrs.mp3,,https://parlament.mt/media/36433/20090317_093d_par.doc
11_094_18032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 094 18-03-2009 1800hrs.mp3,,https://parlament.mt/media/36429/20090318_094d_par.doc
11_095_23032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 095 23-03-2009 1800hrs.mp3,,https://parlament.mt/media/36425/20090323_095d_par.doc
11_096_24032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 096 24-03-2009 1800hrs.mp3,,https://parlament.mt/media/36421/20090324_096d_par.doc
11_097_25032009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 097 25-03-2009 1800hrs.mp3,,https://parlament.mt/media/36417/20090325_097d_par.doc
11_098_01042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 098 01-04-2009 1800hrs.mp3,,https://parlament.mt/media/36413/20090401_098d_par.doc
11_099_04042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 099 04-04-2009 1203hrs.mp3,,https://parlament.mt/media/36410/20090404_099d_par.doc
11_100_20042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 100 20-04-2009 1800hrs.mp3,,https://parlament.mt/media/36406/20090420_100d_par.doc
11_101_21042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 101 21-04-2009 1800hrs.mp3,,https://parlament.mt/media/36402/20090421_101d_par.doc
11_102_22042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 102 22-04-2009 1000hrs.mp3,,https://parlament.mt/media/36399/20090422_102d_par.doc
11_103_22042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 103 22-04-2009 1800hrs.mp3,,https://parlament.mt/media/36395/20090422_103d_par.doc
11_104_27042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 104 27-04-2009 1800hrs.mp3,,https://parlament.mt/media/36391/20090427_104d_par.doc
11_105_28042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 105 28-04-2009 1800hrs.mp3,,https://parlament.mt/media/36387/20090428_105d_par.doc
11_106_29042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 106 29-04-2009 1800hrs.mp3,,https://parlament.mt/media/36383/20090429_106d_par.doc
11_107_30042009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 107 30-04-2009 1800hrs.mp3,,https://parlament.mt/media/36379/20090430_107d_par.doc
11_108_11052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 108 11-05-2009 0900hrs.mp3,,https://parlament.mt/media/36375/20090511_108d_par.doc
11_109_11052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 109 11-05-2009 1800hrs.mp3,,https://parlament.mt/media/36371/20090511_109d_par.doc
11_110_12052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 110 12-05-2009 0900hrs.mp3,,https://parlament.mt/media/36367/20090512_110d_par.doc
11_111_12052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 111 12-05-2009 1800hrs.mp3,,https://parlament.mt/media/36363/20090512_111d_par.doc
11_112_13052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 112 13-05-2009 1800hrs.mp3,,https://parlament.mt/media/36359/20090513_112d_par.doc
11_113_18052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 113 18-05-2009 1800hrs.mp3,,https://parlament.mt/media/36355/20090518_113d_par.doc
11_114_19052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 114 19-05-2009 1800hrs.mp3,,https://parlament.mt/media/36351/20090519_114d_par.doc
11_115_20052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 115 20-05-2009 1800hrs.mp3,,https://parlament.mt/media/36347/20090520_115d_par.doc
11_116_25052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 116 25-05-2009 1800hrs.mp3,,https://parlament.mt/media/36343/20090525_116d_par.doc
11_117_26052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 117 26-05-2009 1800hrs.mp3,,https://parlament.mt/media/36339/20090526_117d_par.doc
11_118_27052009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 118 27-05-2009 1800hrs.mp3,,https://parlament.mt/media/36335/20090527_118d_par.doc
11_119_01062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 119 01-06-2009 1800hrs.mp3,,https://parlament.mt/media/36331/20090601_119d_par.doc
11_120_02062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 120 02-06-2009 1800hrs.mp3,,https://parlament.mt/media/36327/20090602_120d_par.doc
11_121_03062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 121 03-06-2009 1800hrs.mp3,,https://parlament.mt/media/36323/20090603_121d_par.doc
11_122_08062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 122 08-06-2009 1800hrs.mp3,,https://parlament.mt/media/36319/20090608_122d_par.doc
11_123_09062009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 123 09-06-2009 1800hrs.mp3,,https://parlament.mt/media/36315/20090609_123d_par.doc
