video_id,mp3_link
11_058_19112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 058 19-11-2008 0900hrs.mp3
11_059_19112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 059 19-11-2008 1700hrs.mp3
11_060_24112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 060 24-11-2008 1700hrs.mp3
11_061_25112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 061 25-11-2008 1800hrs.mp3
11_062_26112008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 062 26-11-2008 1800hrs.mp3
11_063_02122008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 063 02-12-2008 1800hrs.mp3
11_064_03122008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 064 03-12-2008 1800hrs.mp3
11_065_09122008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 065 09-12-2008 1800hrs.mp3
11_066_10122008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 066 10-12-2008 1800hrs.mp3
11_067_15122008,https://parlament.mt/Audio/11thleg/Plenary/Plenary 067 15-12-2008 1800hrs.mp3
11_068_12012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 068 12-01-2009 1800hrs.mp3
11_069_13012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 069 13-01-2009 1800hrs.mp3
11_070_14012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 070 14-01-2009 1800hrs.mp3
11_071_15012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 071 15-01-2009 1800hrs.mp3
11_072_19012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 072 19-01-2009 1800hrs.mp3
11_073_20012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 073 20-01-2009 1800hrs.mp3
11_074_21012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 074 21-01-2009 1800hrs.mp3
11_075_26012009,https://parlament.mt/Audio/11thleg/Plenary/Plenary 075 26-01-2009 1800hrs.mp3
